ym,port_pnl,n,cum
2020-09,0.0000,1,0.0000
2020-10,4.1600,1,4.1600
2020-11,19.9096,2,24.0696
2020-12,8.6587,1,32.7283
2021-01,0.6800,1,33.4083
2021-02,2.3427,1,35.7510
2021-03,-1.5844,1,34.1666
2021-04,0.5869,1,34.7535
2021-05,0.2422,1,34.9957
2021-06,8.9165,1,43.9122
2021-07,2.1760,1,46.0882
2021-08,0.0298,1,46.1180
2021-09,-0.6430,1,45.4750
2021-10,-7.1314,1,38.3436
2021-11,9.5169,2,47.8605
2021-12,-4.8679,1,42.9926
2022-01,3.6014,1,46.5940
2022-02,-0.0636,1,46.5304
2022-03,6.7623,1,53.2927
2022-04,0.9103,1,54.2030
2022-05,2.8970,1,57.1000
2022-06,1.0661,1,58.1661
2022-07,1.1594,1,59.3255
2022-08,-2.3045,1,57.0210
2022-09,3.6613,1,60.6823
2022-10,0.2441,2,60.9264
2022-11,-0.0434,1,60.8830
2022-12,-7.5815,1,53.3015
2023-01,5.3071,1,58.6086
2023-02,3.3035,1,61.9121
2023-03,-3.5108,1,58.4013
2023-04,1.6378,1,60.0391
2023-05,3.3995,1,63.4386
2023-06,-0.0565,1,63.3821
2023-07,1.4107,1,64.7928
2023-08,2.4129,1,67.2057
2023-09,0.3839,1,67.5896
2023-10,-4.2684,2,63.3212
2023-11,4.7324,1,68.0536
2023-12,2.6200,1,70.6736
2024-01,4.2683,1,74.9419
2024-02,8.0740,1,83.0159
2024-03,0.7124,1,83.7283
2024-04,-1.3538,1,82.3745
2024-05,-3.1488,1,79.2257
2024-06,8.8286,1,88.0543
2024-07,-3.3703,1,84.6840
2024-08,-3.6165,1,81.0675
2024-09,3.5121,2,84.5796
2024-10,3.4550,1,88.0346
2024-11,3.0323,1,91.0669
2024-12,-3.1606,1,87.9063
2025-01,2.1773,1,90.0836
2025-02,-1.1586,1,88.9250
2025-03,2.5364,1,91.4614
2025-04,2.4436,1,93.9050
2025-05,-2.8168,1,91.0882
2025-06,7.0898,1,98.1780
2025-07,3.7874,1,101.9654
2025-08,-2.9776,1,98.9878
2025-09,-3.5237,2,95.4641
2025-10,0.2983,1,95.7624
2025-11,-1.1565,1,94.6059
2025-12,-1.1820,1,93.4239
2026-01,3.2531,1,96.6770
2026-02,1.2208,1,97.8978
