ym,eq_pnl,spy_pnl,port_pnl,n,avg_nc,avg_np,cum,cum_eq,cum_spy
2020-09,0.0000,0.0000,0.0000,1,0.0000,0.0000,0.0000,0.0000,0.0000
2020-10,2.4485,0.7093,3.1578,1,0.0000,8.0000,3.1578,2.4485,0.7093
2020-11,14.0830,2.2984,16.3814,2,5.0000,3.0000,19.5392,16.5315,3.0077
2020-12,8.7139,0.5181,9.2320,1,8.0000,0.0000,28.7712,25.2454,3.5258
2021-01,1.1166,0.6048,1.7214,1,8.0000,0.0000,30.4926,26.3620,4.1306
2021-02,1.9024,-0.4432,1.4592,1,3.0000,5.0000,31.9518,28.2644,3.6874
2021-03,-1.6508,-3.8494,-5.5003,1,2.0000,6.0000,26.4515,26.6136,-0.1620
2021-04,1.1260,0.3909,1.5169,1,8.0000,0.0000,27.9684,27.7396,0.2289
2021-05,-1.0482,-0.6412,-1.6894,1,4.0000,4.0000,26.2790,26.6914,-0.4123
2021-06,9.1333,-0.4268,8.7065,1,6.0000,2.0000,34.9855,35.8247,-0.8391
2021-07,2.3860,0.1867,2.5727,1,7.0000,1.0000,37.5582,38.2107,-0.6524
2021-08,8.4117,-0.9307,7.4810,1,4.0000,4.0000,45.0392,46.6224,-1.5831
2021-09,2.9542,-2.8201,0.1341,1,5.0000,3.0000,45.1733,49.5766,-4.4032
2021-10,-0.6894,-3.9905,-4.6799,1,3.0000,5.0000,40.4934,48.8872,-8.3937
2021-11,10.1161,-0.2324,9.8837,2,6.5000,1.5000,50.3771,59.0033,-8.6261
2021-12,-2.1259,-5.4314,-7.5574,1,6.0000,2.0000,42.8197,56.8774,-14.0575
2022-01,-2.3653,1.1473,-1.2180,1,1.0000,7.0000,41.6017,54.5121,-12.9102
2022-02,-2.8504,1.3041,-1.5463,1,6.0000,2.0000,40.0554,51.6617,-11.6061
2022-03,7.6778,0.8206,8.4984,1,4.0000,4.0000,48.5538,59.3395,-10.7855
2022-04,1.6917,-3.5675,-1.8758,1,4.0000,4.0000,46.6780,61.0312,-14.3530
2022-05,12.2199,-1.2346,10.9853,1,3.0000,5.0000,57.6633,73.2511,-15.5876
2022-06,-2.5538,-0.6816,-3.2354,1,1.0000,7.0000,54.4279,70.6973,-16.2692
2022-07,4.2868,-2.6357,1.6510,1,4.0000,4.0000,56.0789,74.9841,-18.9049
2022-08,-2.1924,-4.3811,-6.5735,1,8.0000,0.0000,49.5054,72.7917,-23.2860
2022-09,11.1332,0.5136,11.6469,1,1.0000,7.0000,61.1523,83.9249,-22.7724
2022-10,3.9137,-3.3697,0.5439,2,3.0000,5.0000,61.6962,87.8386,-26.1421
2022-11,2.9146,-0.4780,2.4366,1,4.0000,4.0000,64.1328,90.7532,-26.6201
2022-12,-3.9654,-3.1849,-7.1503,1,1.0000,7.0000,56.9825,86.7878,-29.8050
2023-01,4.8726,0.5269,5.3995,1,7.0000,1.0000,62.3820,91.6604,-29.2781
2023-02,3.1945,-0.9239,2.2706,1,5.0000,3.0000,64.6526,94.8549,-30.2020
2023-03,-1.8519,-1.3956,-3.2475,1,4.0000,4.0000,61.4051,93.0030,-31.5976
2023-04,1.4407,0.4248,1.8655,1,7.0000,1.0000,63.2706,94.4437,-31.1728
2023-05,9.0381,-1.2811,7.7570,1,5.0000,3.0000,71.0276,103.4818,-32.4539
2023-06,0.1412,0.4133,0.5545,1,8.0000,0.0000,71.5821,103.6230,-32.0406
2023-07,0.8072,-0.1480,0.6592,1,6.0000,2.0000,72.2413,104.4302,-32.1886
2023-08,1.9860,0.5084,2.4944,1,6.0000,2.0000,74.7357,106.4162,-31.6802
2023-09,-0.1813,-2.0575,-2.2388,1,4.0000,4.0000,72.4969,106.2349,-33.7377
2023-10,-0.9663,-6.1182,-7.0845,2,2.0000,6.0000,65.4124,105.2686,-39.8559
2023-11,5.2372,-0.1874,5.0498,1,7.0000,1.0000,70.4622,110.5058,-40.0433
2023-12,3.9889,-0.0945,3.8944,1,6.0000,2.0000,74.3566,114.4947,-40.1378
2024-01,3.5974,-0.4122,3.1852,1,6.0000,2.0000,77.5418,118.0921,-40.5500
2024-02,8.6847,-0.2278,8.4568,1,6.0000,2.0000,85.9986,126.7768,-40.7778
2024-03,-0.5071,-0.4878,-0.9949,1,5.0000,3.0000,85.0037,126.2697,-41.2656
2024-04,-1.9981,-1.2276,-3.2257,1,2.0000,6.0000,81.7780,124.2716,-42.4932
2024-05,-1.3179,-0.5914,-1.9092,1,5.0000,3.0000,79.8688,122.9537,-43.0846
2024-06,8.9452,-0.5702,8.3750,1,6.0000,2.0000,88.2438,131.8989,-43.6548
2024-07,-3.4085,-4.6513,-8.0598,1,6.0000,2.0000,80.1840,128.4904,-48.3061
2024-08,-3.3402,-5.5647,-8.9049,1,1.0000,7.0000,71.2791,125.1502,-53.8708
2024-09,2.7184,1.0699,3.7882,2,6.5000,1.5000,75.0673,127.8686,-52.8009
2024-10,3.7456,0.7906,4.5362,1,7.0000,1.0000,79.6035,131.6142,-52.0103
2024-11,3.3461,0.5766,3.9227,1,4.0000,4.0000,83.5262,134.9603,-51.4337
2024-12,-2.7211,0.7058,-2.0153,1,5.0000,3.0000,81.5109,132.2392,-50.7279
2025-01,1.1323,-0.0173,1.1150,1,4.0000,4.0000,82.6259,133.3715,-50.7452
2025-02,1.8910,-3.5641,-1.6731,1,5.0000,3.0000,80.9528,135.2625,-54.3093
2025-03,0.4851,0.9799,1.4650,1,1.0000,7.0000,82.4178,135.7476,-53.3294
2025-04,0.8275,-3.0335,-2.2061,1,3.0000,5.0000,80.2117,136.5751,-56.3629
2025-05,-2.7937,1.1696,-1.6241,1,8.0000,0.0000,78.5876,133.7814,-55.1933
2025-06,5.8758,-0.3481,5.5277,1,6.0000,2.0000,84.1153,139.6572,-55.5414
2025-07,2.4904,0.8568,3.3471,1,6.0000,2.0000,87.4624,142.1476,-54.6846
2025-08,-1.6844,0.0756,-1.6089,1,4.0000,4.0000,85.8535,140.4632,-54.6090
2025-09,1.5099,-0.6362,0.8737,2,4.5000,3.5000,86.7272,141.9731,-55.2452
2025-10,-0.0190,-0.9734,-0.9924,1,7.0000,1.0000,85.7348,141.9541,-56.2186
2025-11,-3.2476,-0.0681,-3.3157,1,3.0000,5.0000,82.4191,138.7065,-56.2867
2025-12,-0.9632,0.7907,-0.1726,1,6.0000,2.0000,82.2465,137.7433,-55.4960
2026-01,0.8233,0.9379,1.7612,1,2.0000,6.0000,84.0077,138.5666,-54.5581
2026-02,-0.7611,0.4984,-0.2627,1,3.0000,4.0000,83.7450,137.8055,-54.0597
