ym,eq_pnl,spy_pnl,port_pnl,n,avg_n_call,avg_n_put,cum,cum_eq,cum_spy
2020-09,0.0000,0.0000,0.0000,1,0.0000,0.0000,0.0000,0.0000,0.0000
2020-10,2.4485,-2.1641,0.2844,1,0.0000,8.0000,0.2844,2.4485,-2.1641
2020-11,14.0830,-8.7894,5.2936,2,5.0000,3.0000,5.5780,16.5315,-10.9535
2020-12,8.7139,-2.7400,5.9739,1,8.0000,0.0000,11.5519,25.2454,-13.6935
2021-01,1.1166,-0.0316,1.0850,1,8.0000,0.0000,12.6369,26.3620,-13.7251
2021-02,1.9024,0.0187,1.9210,1,3.0000,5.0000,14.5579,28.2644,-13.7064
2021-03,-1.6508,-1.0130,-2.6638,1,2.0000,6.0000,11.8941,26.6136,-14.7194
2021-04,1.1260,0.3527,1.4787,1,8.0000,0.0000,13.3728,27.7396,-14.3667
2021-05,-1.0482,-0.6412,-1.6894,1,4.0000,4.0000,11.6834,26.6914,-15.0079
2021-06,9.1333,-2.0186,7.1147,1,6.0000,2.0000,18.7981,35.8247,-17.0265
2021-07,2.3860,-0.6212,1.7647,1,7.0000,1.0000,20.5628,38.2107,-17.6477
2021-08,8.4117,-0.9307,7.4810,1,4.0000,4.0000,28.0438,46.6224,-18.5784
2021-09,2.9542,-1.5304,1.4237,1,5.0000,3.0000,29.4675,49.5766,-20.1088
2021-10,-0.6894,-2.1567,-2.8461,1,3.0000,5.0000,26.6214,48.8872,-22.2655
2021-11,10.1161,-2.2996,7.8165,2,6.5000,1.5000,34.4379,59.0033,-24.5651
2021-12,-2.1259,-1.5610,-3.6869,1,6.0000,2.0000,30.7510,56.8774,-26.1261
2022-01,-2.3653,0.2002,-2.1650,1,1.0000,7.0000,28.5860,54.5121,-25.9259
2022-02,-2.8504,1.2782,-1.5723,1,6.0000,2.0000,27.0137,51.6617,-24.6477
2022-03,7.6778,0.8206,8.4984,1,4.0000,4.0000,35.5121,59.3395,-23.8271
2022-04,1.6917,-3.5675,-1.8758,1,4.0000,4.0000,33.6363,61.0312,-27.3946
2022-05,12.2199,-2.8268,9.3931,1,3.0000,5.0000,43.0294,73.2511,-30.2214
2022-06,-2.5538,1.4588,-1.0950,1,1.0000,7.0000,41.9344,70.6973,-28.7626
2022-07,4.2868,-2.6357,1.6510,1,4.0000,4.0000,43.5854,74.9841,-31.3983
2022-08,-2.1924,0.7546,-1.4378,1,8.0000,0.0000,42.1476,72.7917,-30.6437
2022-09,11.1332,-4.1417,6.9915,1,1.0000,7.0000,49.1391,83.9249,-34.7854
2022-10,3.9137,0.2131,4.1267,2,3.0000,5.0000,53.2658,87.8386,-34.5723
2022-11,2.9146,-0.4780,2.4366,1,4.0000,4.0000,55.7024,90.7532,-35.0503
2022-12,-3.9654,0.3019,-3.6635,1,1.0000,7.0000,52.0389,86.7878,-34.7484
2023-01,4.8726,-0.7360,4.1366,1,7.0000,1.0000,56.1755,91.6604,-35.4844
2023-02,3.1945,-0.2172,2.9773,1,5.0000,3.0000,59.1528,94.8549,-35.7016
2023-03,-1.8519,-1.3956,-3.2475,1,4.0000,4.0000,55.9053,93.0030,-37.0972
2023-04,1.4407,0.5135,1.9542,1,7.0000,1.0000,57.8595,94.4437,-36.5837
2023-05,9.0381,-2.5099,6.5282,1,5.0000,3.0000,64.3877,103.4818,-39.0936
2023-06,0.1412,-1.2157,-1.0745,1,8.0000,0.0000,63.3132,103.6230,-40.3093
2023-07,0.8072,-1.3834,-0.5762,1,6.0000,2.0000,62.7370,104.4302,-41.6927
2023-08,1.9860,0.5101,2.4961,1,6.0000,2.0000,65.2331,106.4162,-41.1826
2023-09,-0.1813,-2.0575,-2.2388,1,4.0000,4.0000,62.9943,106.2349,-43.2401
2023-10,-0.9663,-2.7815,-3.7478,2,2.0000,6.0000,59.2465,105.2686,-46.0216
2023-11,5.2372,-3.6211,1.6161,1,7.0000,1.0000,60.8626,110.5058,-49.6427
2023-12,3.9889,-1.1532,2.8357,1,6.0000,2.0000,63.6983,114.4947,-50.7959
2024-01,3.5974,-2.0506,1.5468,1,6.0000,2.0000,65.2451,118.0921,-52.8465
2024-02,8.6847,-1.7708,6.9139,1,6.0000,2.0000,72.1590,126.7768,-54.6173
2024-03,-0.5071,-0.0799,-0.5871,1,5.0000,3.0000,71.5719,126.2697,-54.6972
2024-04,-1.9981,0.2834,-1.7147,1,2.0000,6.0000,69.8572,124.2716,-54.4138
2024-05,-1.3179,-1.2954,-2.6133,1,5.0000,3.0000,67.2439,122.9537,-55.7092
2024-06,8.9452,-2.6033,6.3419,1,6.0000,2.0000,73.5858,131.8989,-58.3125
2024-07,-3.4085,-1.2680,-4.6765,1,6.0000,2.0000,68.9093,128.4904,-59.5805
2024-08,-3.3402,1.1619,-2.1783,1,1.0000,7.0000,66.7310,125.1502,-58.4186
2024-09,2.7184,-1.0809,1.6375,2,6.5000,1.5000,68.3685,127.8686,-59.4995
2024-10,3.7456,-1.3872,2.3585,1,7.0000,1.0000,70.7270,131.6142,-60.8867
2024-11,3.3461,0.5766,3.9227,1,4.0000,4.0000,74.6497,134.9603,-60.3101
2024-12,-2.7211,0.5933,-2.1278,1,5.0000,3.0000,72.5219,132.2392,-59.7168
2025-01,1.1323,-0.0173,1.1150,1,4.0000,4.0000,73.6369,133.3715,-59.7341
2025-02,1.8910,-1.8245,0.0665,1,5.0000,3.0000,73.7034,135.2625,-61.5586
2025-03,0.4851,-2.5702,-2.0852,1,1.0000,7.0000,71.6182,135.7476,-64.1288
2025-04,0.8275,-0.9774,-0.1499,1,3.0000,5.0000,71.4683,136.5751,-65.1062
2025-05,-2.7937,0.5210,-2.2727,1,8.0000,0.0000,69.1956,133.7814,-64.5852
2025-06,5.8758,-3.3684,2.5075,1,6.0000,2.0000,71.7031,139.6572,-67.9536
2025-07,2.4904,0.0003,2.4907,1,6.0000,2.0000,74.1938,142.1476,-67.9533
2025-08,-1.6844,0.0756,-1.6089,1,4.0000,4.0000,72.5849,140.4632,-67.8777
2025-09,1.5099,-1.4441,0.0658,2,4.5000,3.5000,72.6507,141.9731,-69.3218
2025-10,-0.0190,0.8094,0.7903,1,7.0000,1.0000,73.4410,141.9541,-68.5124
2025-11,-3.2476,0.6005,-2.6471,1,3.0000,5.0000,70.7939,138.7065,-67.9119
2025-12,-0.9632,0.3044,-0.6588,1,6.0000,2.0000,70.1351,137.7433,-67.6075
2026-01,0.8233,0.1970,1.0203,1,2.0000,6.0000,71.1554,138.5666,-67.4105
2026-02,-0.7611,0.1370,-0.6241,1,3.0000,4.0000,70.5313,137.8055,-67.2735
