date,weighted_pnl
2010-02-28,1.004152813247468
2010-03-31,1.0253663855055242
2010-04-30,1.0355825006627708
2010-05-31,1.0088189807446302
2010-06-30,1.0118740891803153
2010-07-31,1.0189950506508483
2010-08-31,0.9952689877814653
2010-09-30,1.0008591632175434
2010-10-31,1.0265755605377682
2010-11-30,1.039299272093116
2010-12-31,1.0548059652593278
2011-01-31,1.069270979933228
2011-02-28,1.081988959485685
2011-03-31,1.0919172259649483
2011-04-30,1.1039179586047627
2011-05-31,1.1116021709665163
2011-06-30,1.1151469576098474
2011-07-31,1.1104548864780972
2011-08-31,1.108432274231799
2011-09-30,1.10959904780818
2011-10-31,1.1173870694866537
2011-11-30,1.1468407552479807
2011-12-31,1.1708128656308083
2012-01-31,1.1887260420606116
2012-02-29,1.2108932232176184
2012-03-31,1.2357037142512144
2012-04-30,1.2296250612874537
2012-05-31,1.2172495548807036
2012-06-30,1.221975384321005
2012-07-31,1.2226058605676082
2012-08-31,1.2372513455898222
2012-09-30,1.2563949237126435
2012-10-31,1.2581623188771103
2012-11-30,1.2648386445542605
2012-12-31,1.2766530009665813
2013-01-31,1.295738295094053
2013-02-28,1.3081812984110377
2013-03-31,1.3239584993582154
2013-04-30,1.338324867583578
2013-05-31,1.348077526261091
2013-06-30,1.3537796819963452
2013-07-31,1.3673518559481028
2013-08-31,1.3438717391790858
2013-09-30,1.350261803599631
2013-10-31,1.3691433205191768
2013-11-30,1.388512134934195
2013-12-31,1.4068860282388107
2014-01-31,1.3894391568688806
2014-02-28,1.4039051190110095
2014-03-31,1.4189434376009156
2014-04-30,1.4213116454498953
2014-05-31,1.4278095043562038
2014-06-30,1.4415783705693206
2014-07-31,1.436672564182103
2014-08-31,1.449528878467299
2014-09-30,1.4554585167119267
2014-10-31,1.4708741118006061
2014-11-30,1.4877610744991683
2014-12-31,1.4948481983879387
2015-01-31,1.4733824230781638
2015-02-28,1.481863830771779
2015-03-31,1.4826662207148589
2015-04-30,1.4758357324517606
2015-05-31,1.4862923428507802
2015-06-30,1.4911790497360933
2015-07-31,1.5013431182899897
2015-08-31,1.4596836122214667
2015-09-30,1.4640953555806862
2015-10-31,1.4906404986614799
2015-11-30,1.514704254705512
2015-12-31,1.5247089862492516
2016-01-31,1.515782469889616
2016-02-29,1.5213161224381504
2016-03-31,1.5392163932130143
2016-04-30,1.5452422189051311
2016-05-31,1.5640763824287687
2016-06-30,1.560451424036793
2016-07-31,1.5759229668499306
2016-08-31,1.582831808239592
2016-09-30,1.5857130852442365
2016-10-31,1.580008447865706
2016-11-30,1.5944741560733813
2016-12-31,1.6118880353178573
2017-01-31,1.623502748966579
2017-02-28,1.6401867888288433
2017-03-31,1.6483788124339247
2017-04-30,1.6577657512502046
2017-05-31,1.6653734133366165
2017-06-30,1.66164875304523
2017-07-31,1.6732883257086952
2017-08-31,1.6821564583008686
2017-09-30,1.6860324240458568
2017-10-31,1.6881178724466883
2017-11-30,1.708290216368438
2017-12-31,1.7231249689613573
2018-01-31,1.7360390905156535
2018-02-28,1.701004942947628
2018-03-31,1.6969825697697805
2018-04-30,1.7035231022109967
2018-05-31,1.7206756387156739
2018-06-30,1.7258060844728011
2018-07-31,1.7400647655963615
2018-08-31,1.7606539963543095
2018-09-30,1.7728761632734342
2018-10-31,1.7010541274659081
2018-11-30,1.709703794223117
2018-12-31,1.6371610321190855
2019-01-31,1.640280337633697
2019-02-28,1.6669727449360827
2019-03-31,1.678793814943281
2019-04-30,1.6884736547492007
2019-05-31,1.6302525777202428
2019-06-30,1.63755041259635
2019-07-31,1.6596020680097228
2019-08-31,1.6553940935189808
2019-09-30,1.6663205129992031
2019-10-31,1.689699891668284
2019-11-30,1.712932815274299
2019-12-31,1.7434603594600406
2020-01-31,1.7318850516850777
2020-02-29,1.67492700488221
2020-03-31,1.675460995726
2020-04-30,1.6920915327029586
2020-05-31,1.786742468735331
2020-06-30,1.8281673147422721
2020-07-31,1.8556269280540885
2020-08-31,1.904819103221748
2020-09-30,1.918519711712641
2020-10-31,1.9282252276270464
2020-11-30,1.9503185310062865
2020-12-31,1.997672242081683
2021-01-31,2.017598879854681
2021-02-28,2.0366436050968675
2021-03-31,2.0783760055397913
2021-04-30,2.1073299211086436
2021-05-31,2.1438939929816194
2021-06-30,2.1591545985679406
2021-07-31,2.175892274555869
2021-08-31,2.206502428122536
2021-09-30,2.1736968118475164
2021-10-31,2.1906362824799634
2021-11-30,2.1694825381130785
2021-12-31,2.200396355315925
2022-01-31,2.165405468273508
2022-02-28,2.1712365800177675
2022-03-31,2.199268724962029
2022-04-30,2.130932672324192
2022-05-31,2.1232574132646342
2022-06-30,2.0582965262372905
2022-07-31,2.068510860146853
2022-08-31,2.070441988284389
2022-09-30,2.0440154503195553
2022-10-31,2.053155737232449
2022-11-30,2.118546932369394
2022-12-31,2.0930895759341084
2023-01-31,2.0966568960771483
2023-02-28,2.0942374095705776
2023-03-31,2.088373588802429
2023-04-30,2.1134060769068146
2023-05-31,2.0894881044183826
2023-06-30,2.103450222882235
2023-07-31,2.1276668121494073
2023-08-31,2.094909940472621
2023-09-30,2.076598546562072
2023-10-31,2.072272696573144
2023-11-30,2.088698127516188
2023-12-31,2.119596502811246
2024-01-31,2.1181069787375018
2024-02-29,2.1448310385949343
2024-03-31,2.1666161680826974
2024-04-30,2.128415433268709
2024-05-31,2.1416262011677625
2024-06-30,2.1475868050025047
2024-07-31,2.1434111679169545
2024-08-31,2.1692739153432874
2024-09-30,2.2077217394436164
2024-10-31,2.209957511014116
2024-11-30,2.235490161193977
2024-12-31,2.1758361725150386
