date,monthly_pnl,avg_vix
2010-02-28,0.002290236353414781,22.59000015258789
2010-03-31,0.014995935444349504,19.260000228881836
2010-04-30,0.00325833356767061,17.469999313354492
2010-05-31,-0.030728963958268976,20.190000534057617
2010-06-30,0.0009772096940085437,35.540000915527344
2010-07-31,0.0049825495157605395,32.86000061035156
2010-08-31,-0.031466676942335105,22.010000228881836
2010-09-30,0.004109180260605996,23.889999389648438
2010-10-31,0.0167925006420574,22.5
2010-11-30,0.006011811259670562,21.829999923706055
2010-12-31,0.010388318199732407,21.360000610351562
2011-01-31,0.007504733861686336,17.610000610351562
2011-02-28,0.007708055684702212,17.6299991607666
2011-03-31,0.0022338449680799344,21.010000228881836
2011-04-30,0.007848870052864988,17.399999618530273
2011-05-31,0.002259880475688029,15.989999771118164
2011-06-30,0.0002575874741088034,18.299999237060547
2011-07-31,-0.006874392976056754,15.869999885559082
2011-08-31,-0.005080947129518977,23.65999984741211
2011-09-30,-0.0005732037038423054,31.81999969482422
2011-10-31,0.005074721146256605,45.45000076293945
2011-11-30,0.012288299832301026,34.77000045776367
2011-12-31,0.013222699003446562,27.40999984741211
2012-01-31,0.009400706498844355,22.969999313354492
2012-02-29,0.012987941375934748,18.549999237060547
2012-03-31,0.014304990866540732,17.260000228881836
2012-04-30,-0.010317746871664394,15.640000343322754
2012-05-31,-0.012652835471215512,16.600000381469727
2012-06-30,0.002843653844996654,26.65999984741211
2012-07-31,-0.00596499554702747,16.799999237060547
2012-08-31,0.007676473506617131,18.959999084472656
2012-09-30,0.009756142064438372,17.979999542236328
2012-10-31,-0.0035259057648727747,16.31999969482422
2012-11-30,0.002315663567610741,16.690000534057617
2012-12-31,0.0048103008538677204,16.639999389648438
2013-01-31,0.010708021423626451,14.680000305175781
2013-02-28,0.0047299874899609925,12.899999618530273
2013-03-31,0.008497148300799907,15.359999656677246
2013-04-30,0.005692128394154326,13.579999923706055
2013-05-31,0.002547884060483278,14.489999771118164
2013-06-30,-0.0012601077002811155,16.280000686645508
2013-07-31,0.006826317975074847,16.3700008392334
2013-08-31,-0.021725427241724903,12.9399995803833
2013-09-30,0.0033514873974466197,16.610000610351562
2013-10-31,0.008784844707080379,15.539999961853027
2013-11-30,0.009433303994465939,13.279999732971191
2013-12-31,0.008254489889019546,14.229999542236328
2014-01-31,-0.017032894415858167,14.229999542236328
2014-02-28,0.007560770139255023,21.440000534057617
2014-03-31,0.003865704409013832,16.0
