ym,long_pnl,short_pnl,port_pnl,n_periods,cum_port,cum_long,cum_short
2020-09,0.0000,0.0000,0.0000,1,0.0000,0.0000,0.0000
2020-10,0.0000,0.0000,0.0000,1,0.0000,0.0000,0.0000
2020-11,18.1063,-10.1049,8.0014,2,8.0014,18.1063,-10.1049
2020-12,7.5118,-2.7403,4.7715,1,12.7730,25.6182,-12.8452
2021-01,2.7764,-0.0307,2.7457,1,15.5187,28.3946,-12.8759
2021-02,-0.3812,-1.1349,-1.5161,1,14.0026,28.0134,-14.0108
2021-03,1.1095,-5.2683,-4.1588,1,9.8438,29.1229,-19.2791
2021-04,1.8794,0.3523,2.2317,1,12.0755,31.0023,-18.9268
2021-05,-0.4028,-1.8322,-2.2350,1,9.8405,30.5995,-20.7590
2021-06,9.9757,-2.8147,7.1610,1,17.0015,40.5752,-23.5737
2021-07,-1.7795,-0.7548,-2.5343,1,14.4672,38.7957,-24.3285
2021-08,0.4148,-2.2194,-1.8046,1,12.6626,39.2105,-26.5479
2021-09,0.7651,0.4040,1.1691,1,13.8317,39.9756,-26.1439
2021-10,0.6605,0.0000,0.6605,1,14.4922,40.6361,-26.1439
2021-11,8.2319,-3.2546,4.9773,2,19.4694,48.8679,-29.3985
2021-12,-2.6941,0.3743,-2.3198,1,17.1497,46.1738,-29.0242
2022-01,1.2114,0.0000,1.2114,1,18.3611,47.3853,-29.0242
2022-02,-2.2001,0.0000,-2.2001,1,16.1610,45.1852,-29.0242
2022-03,2.7626,0.3259,3.0885,1,19.2495,47.9478,-28.6983
2022-04,-1.2615,0.8085,-0.4530,1,18.7965,46.6863,-27.8898
2022-05,0.8029,0.0000,0.8029,1,19.5994,47.4892,-27.8898
2022-06,-0.1896,0.0000,-0.1896,1,19.4098,47.2996,-27.8898
2022-07,7.7952,-6.3990,1.3962,1,20.8059,55.0947,-34.2888
2022-08,-1.7011,0.7546,-0.9465,1,19.8595,53.3936,-33.5342
2022-09,-0.2060,0.0000,-0.2060,1,19.6535,53.1877,-33.5342
2022-10,2.3479,-1.2881,1.0598,2,20.7133,55.5356,-34.8223
2022-11,-0.9509,0.9635,0.0126,1,20.7259,54.5847,-33.8588
2022-12,0.0000,0.0000,0.0000,1,20.7259,54.5847,-33.8588
2023-01,7.4162,-0.9452,6.4710,1,27.1969,62.0009,-34.8040
2023-02,1.1478,0.8430,1.9908,1,29.1877,63.1487,-33.9610
2023-03,0.3377,0.0000,0.3377,1,29.5254,63.4864,-33.9610
2023-04,0.2647,0.5283,0.7930,1,30.3184,63.7511,-33.4327
2023-05,7.9517,0.0000,7.9517,1,38.2701,71.7028,-33.4327
2023-06,1.1892,-1.2160,-0.0268,1,38.2432,72.8919,-34.6487
2023-07,1.8998,-2.0008,-0.1010,1,38.1422,74.7917,-36.6495
2023-08,0.2663,0.5109,0.7772,1,38.9194,75.0580,-36.1386
2023-09,-0.5410,0.4234,-0.1176,1,38.8018,74.5170,-35.7152
2023-10,0.3474,0.0000,0.3474,2,39.1492,74.8644,-35.7152
2023-11,5.3840,-4.1927,1.1913,1,40.3405,80.2484,-39.9079
2023-12,2.2017,-1.6832,0.5185,1,40.8590,82.4501,-41.5911
2024-01,1.6759,-2.8699,-1.1940,1,39.6650,84.1260,-44.4610
2024-02,9.5251,-2.5417,6.9834,1,46.6483,93.6510,-47.0027
2024-03,0.2624,0.5318,0.7942,1,47.4426,93.9135,-46.4709
2024-04,-0.2781,0.0000,-0.2781,1,47.1644,93.6353,-46.4709
2024-05,-1.2951,-2.3513,-3.6464,1,43.5180,92.3402,-48.8222
2024-06,10.5648,-3.6197,6.9451,1,50.4631,102.9051,-52.4419
2024-07,-3.1083,0.4236,-2.6847,1,47.7784,99.7967,-52.0183
2024-08,0.3651,0.0000,0.3651,1,48.1435,100.1618,-52.0183
2024-09,4.2125,-1.6504,2.5621,2,50.7056,104.3744,-53.6687
2024-10,4.7001,-1.7495,2.9506,1,53.6562,109.0745,-55.4182
2024-11,4.7297,0.6796,5.4093,1,59.0655,113.8041,-54.7386
2024-12,-2.4344,0.0000,-2.4344,1,56.6311,111.3697,-54.7386
2025-01,0.4829,-1.0006,-0.5177,1,56.1134,111.8526,-55.7392
2025-02,-2.0299,0.7849,-1.2450,1,54.8684,109.8228,-54.9543
2025-03,-0.1818,0.0000,-0.1818,1,54.6866,109.6409,-54.9543
2025-04,5.2669,0.0000,5.2669,1,59.9535,114.9078,-54.9543
2025-05,-3.0039,0.5208,-2.4831,1,57.4704,111.9039,-54.4335
2025-06,5.1397,-4.8784,0.2613,1,57.7317,117.0436,-59.3119
2025-07,0.5126,-0.4278,0.0848,1,57.8164,117.5562,-59.7397
2025-08,-0.0717,-0.9895,-1.0612,1,56.7552,117.4844,-60.7292
2025-09,5.5294,-4.2584,1.2710,2,58.0262,123.0138,-64.9876
2025-10,-2.9651,1.1065,-1.8586,1,56.1676,120.0487,-63.8811
2025-11,-0.3013,0.0000,-0.3013,1,55.8663,119.7474,-63.8811
2025-12,-0.6554,0.0613,-0.5941,1,55.2722,119.0920,-63.8198
2026-01,2.0796,1.3084,3.3880,1,58.6602,121.1716,-62.5114
2026-02,-0.0090,0.0000,-0.0090,1,58.6512,121.1627,-62.5114
