ym,port_pnl,n,cum
2020-09,0.0000,1,0.0000
2020-10,1.8369,1,1.8369
2020-11,13.7750,2,15.6119
2020-12,8.6587,1,24.2706
2021-01,0.6800,1,24.9506
2021-02,1.7528,1,26.7034
2021-03,-2.1508,1,24.5526
2021-04,0.5869,1,25.1395
2021-05,-1.1462,1,23.9933
2021-06,8.9877,1,32.9810
2021-07,2.3272,1,35.3082
2021-08,7.8544,1,43.1626
2021-09,2.1747,1,45.3373
2021-10,-0.8408,1,44.4965
2021-11,9.7608,2,54.2573
2021-12,-2.1382,1,52.1191
2022-01,-2.5692,1,49.5499
2022-02,-3.1939,1,46.3560
2022-03,7.0811,1,53.4371
2022-04,1.6146,1,55.0517
2022-05,11.9707,1,67.0224
2022-06,-2.6128,1,64.4096
2022-07,4.1097,1,68.5193
2022-08,-2.3045,1,66.2148
2022-09,10.6538,1,76.8686
2022-10,3.5815,2,80.4501
2022-11,2.6621,1,83.1122
2022-12,-4.3731,1,78.7391
2023-01,4.8684,1,83.6075
2023-02,2.9294,1,86.5369
2023-03,-1.9314,1,84.6055
2023-04,1.3693,1,85.9748
2023-05,8.9269,1,94.9017
2023-06,-0.0565,1,94.8452
2023-07,0.5655,1,95.4107
2023-08,1.9453,1,97.3560
2023-09,-0.5280,1,96.8280
2023-10,-1.2717,2,95.5563
2023-11,4.8077,1,100.3640
2023-12,3.8991,1,104.2631
2024-01,3.3523,1,107.6154
2024-02,8.6398,1,116.2552
2024-03,-0.6390,1,115.6162
2024-04,-2.2514,1,113.3648
2024-05,-1.6501,1,111.7147
2024-06,8.4766,1,120.1913
2024-07,-3.5354,1,116.6559
2024-08,-3.5733,1,113.0826
2024-09,2.1527,2,115.2353
2024-10,3.4589,1,118.6942
2024-11,3.2237,1,121.9179
2024-12,-2.8048,1,119.1131
2025-01,1.1019,1,120.2150
2025-02,1.8009,1,122.0159
2025-03,0.1044,1,122.1203
2025-04,0.5104,1,122.6307
2025-05,-2.8168,1,119.8139
2025-06,5.7943,1,125.6082
2025-07,2.3008,1,127.9090
2025-08,-1.9196,1,125.9894
2025-09,1.0200,2,127.0094
2025-10,-0.0380,1,126.9714
2025-11,-3.4687,1,123.5027
2025-12,-1.0876,1,122.4151
2026-01,0.6941,1,123.1092
2026-02,-1.1648,1,121.9444
