date,weighted_pnl
2010-02-28,0.0037988200164932482
2010-03-31,0.02204854883951673
2010-04-30,0.013415568627372967
2010-05-31,-0.025531653212722057
2010-06-30,0.0004958950195037977
2010-07-31,0.003999837613221226
2010-08-31,-0.025378098007133497
2010-09-30,0.00528
2010-10-31,0.022915345564244426
2010-11-30,0.010367513808800046
2010-12-31,0.013893898502701509
2011-01-31,0.01699362660969816
2011-02-28,0.0141513980995066
2011-03-31,0.008396363141050365
2011-04-30,0.014432871423857574
2011-05-31,0.01181100949989327
2011-06-30,0.005425657338999108
2011-07-31,-0.0012038376540646932
2011-08-31,-0.004097203011746722
2011-09-30,0.00024217520115595525
2011-10-31,0.003048416621834313
2011-11-30,0.004703186161498544
2011-12-31,0.014587098759921386
2012-01-31,0.014974033447818513
2012-02-29,0.019272031962194968
2012-03-31,0.023796779244777015
2012-04-30,0.0006575309567900058
2012-05-31,-0.007176812535189776
2012-06-30,0.0033
2012-07-31,0.0060207033592746245
2012-08-31,0.015073291963694188
2012-09-30,0.017489234003580417
2012-10-31,0.007428429410360713
2012-11-30,0.008677249245780673
2012-12-31,0.01223273138986715
2013-01-31,0.020224997119644945
2013-02-28,0.02045676600615482
2013-03-31,0.017933438735798023
2013-04-30,0.02064058755460932
2013-05-31,0.014660226773971337
2013-06-30,0.008105821964086022
2013-07-31,0.013220881345511528
2013-08-31,-0.0071385949971694744
2013-09-30,0.004778361817947179
2013-10-31,0.01893032828119113
2013-11-30,0.02423893420177713
2013-12-31,0.02169411869029009
2014-01-31,-0.005939292118708554
2014-02-28,0.009637312017369396
2014-03-31,0.01745478612446604
2014-04-30,0.010087539722250922
2014-05-31,0.010709114594324035
2014-06-30,0.018878631621832176
2014-07-31,0.007137241685754102
2014-08-31,0.010347650806269534
2014-09-30,0.016733573135401216
2014-10-31,0.014302661814580425
2014-11-30,0.01848398810798969
2014-12-31,0.013444074348636568
2015-01-31,-0.011658947606117678
2015-02-28,0.006053865953158207
2015-03-31,0.010704496121446678
2015-04-30,-0.001721306334435844
2015-05-31,0.011818269652433594
2015-06-30,0.010714781010372343
2015-07-31,0.008168643287895077
2015-08-31,-0.01870645875120196
2015-09-30,0.0012325244524520585
2015-10-31,0.0162720482627338
2015-11-30,0.025014793247563647
2015-12-31,0.012600327772901414
2016-01-31,-0.006260752556212188
2016-02-29,0.005129077124902866
2016-03-31,0.014000773962518911
2016-04-30,0.014507715561824194
2016-05-31,0.017774720533902895
2016-06-30,0.004094567317806187
2016-07-31,0.015046301179697196
2016-08-31,0.014056652400735496
2016-09-30,0.006485894541537378
2016-10-31,0.0008071277831618365
2016-11-30,0.008986976063355363
2016-12-31,0.017489898556928493
2017-01-31,0.016570202320129648
2017-02-28,0.01908634823521041
2017-03-31,0.01631464751076427
2017-04-30,0.010279861860828885
2017-05-31,0.014090494964082687
2017-06-30,0.00798185785824517
2017-07-31,0.015220008167510526
2017-08-31,0.016119132773238447
2017-09-30,0.010488260211253203
2017-10-31,0.012204136523761852
2017-11-30,0.024564323611958695
2017-12-31,0.02158929804046186
2018-01-31,0.01785835217819198
2018-02-28,-0.011565848671271027
2018-03-31,-0.004765942005282131
2018-04-30,0.003947170103145782
2018-05-31,0.013999746688638197
2018-06-30,0.010186763771146301
2018-07-31,0.011926921539513899
2018-08-31,0.022215565841670025
2018-09-30,0.014809657394169968
2018-10-31,-0.03192758306892776
2018-11-30,0.00673546856140105
2018-12-31,-0.03704061594550322
2019-01-31,0.00132
2019-02-28,0.022041699428169755
2019-03-31,0.016545282683375427
2019-04-30,0.013068855602982503
2019-05-31,-0.028436903977548483
2019-06-30,0.00594
2019-07-31,0.022930452849194437
2019-08-31,0.00034158681136807066
2019-09-30,0.007782455122138773
2019-10-31,0.016524384489329847
2019-11-30,0.02255254585625335
2019-12-31,0.024794172401068654
2020-01-31,0.002780037934379271
2020-02-29,-0.030660120872244137
2020-03-31,-0.0013805761269361629
2020-04-30,0.00396
2020-05-31,0.028703164956852777
2020-06-30,0.01135336256416717
2020-07-31,0.007183439286772487
2020-08-31,0.02207267746470661
2020-09-30,-0.0018602408373146336
2020-10-31,0.0014506046234388885
2020-11-30,0.006255901442949611
2020-12-31,0.023119602798731882
2021-01-31,0.00352925076687715
2021-02-28,0.003627843933856625
2021-03-31,0.017182548665466847
2021-04-30,0.018897939557526604
2021-05-31,0.019877641177383287
2021-06-30,0.009993608730881709
2021-07-31,0.00962704081770146
2021-08-31,0.015532261317490218
2021-09-30,-0.011223345282622572
2021-10-31,0.00792
2021-11-30,-0.004153110815875314
2021-12-31,0.006803080378832461
2022-01-31,-0.01018502146598122
2022-02-28,0.002562596131837065
2022-03-31,0.00529727619919642
2022-04-30,-0.029768976127493137
2022-05-31,-0.0049244754208674305
2022-06-30,-0.037032159070360185
2022-07-31,0.003850237423404315
2022-08-31,-0.0033616386748055553
2022-09-30,-0.015306375606835537
2022-10-31,0.0033
2022-11-30,0.025264754001660474
2022-12-31,-0.011423012559382932
2023-01-31,0.00036682846314275937
2023-02-28,3.4577441473264566e-05
2023-03-31,-0.004913818153331159
2023-04-30,0.013748329293965796
2023-05-31,-0.006290002858002404
2023-06-30,0.006911343802834793
2023-07-31,0.021478226326988994
2023-08-31,-0.008169173776875035
2023-09-30,-0.006182327581671404
2023-10-31,-0.0014634757278942875
2023-11-30,0.010466132240836111
2023-12-31,0.025463512800663182
2024-01-31,0.008449096599485095
2024-02-29,0.018368646323642924
2024-03-31,0.019000011054715365
2024-04-30,-0.008854943488401566
2024-05-31,0.009114125646533324
2024-06-30,0.010796659756639921
2024-07-31,0.00414298582479654
2024-08-31,0.015009817366271536
2024-09-30,0.01744869758537832
2024-10-31,0.001090339006784057
2024-11-30,0.009573279872337564
2024-12-31,-0.019346007335415694
