period_start,n_tickers,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2020-09-01,30,0.0000,0.0000,0.0000,0.0000,0.0000,AMZN|AAPL|MSFT|META|GOOGL|UNH|CRM|TSLA|V|ADBE|PG|MA|WMT|HD|ACN|DIS|NVDA|NFLX|JPM|JNJ|CMCSA|NKE|ABT|TMO|ORCL|NOW|BAC|PEP|KO|COST
2020-10-05,30,-0.9786,0.0000,-0.9786,-0.9786,1.0430,AMZN|AAPL|MSFT|META|UNH|GOOGL|CRM|V|TSLA|PG|ADBE|MA|HD|WMT|NVDA|ACN|DIS|NFLX|JPM|NKE|JNJ|CMCSA|ABT|TMO|ORCL|NOW|BAC|PEP|KO|COST
2020-11-02,30,-0.2977,0.0000,-0.2977,-1.2763,0.4151,AMZN|AAPL|MSFT|META|UNH|GOOGL|CRM|V|TSLA|PG|ADBE|WMT|HD|MA|ACN|DIS|NVDA|JPM|NFLX|NKE|TMO|JNJ|ABT|CMCSA|ORCL|NOW|BAC|PEP|KO|COST
2020-11-30,30,7.4888,0.0000,7.4888,6.2126,3.6208,AMZN|AAPL|MSFT|META|UNH|GOOGL|TSLA|V|CRM|PG|ADBE|WMT|MA|HD|DIS|ACN|JPM|NVDA|NKE|CMCSA|NFLX|JNJ|TMO|ABT|NOW|ORCL|BAC|QCOM|PEP|KO
2020-12-28,30,0.5270,0.0000,0.5270,6.7396,2.8309,AAPL|AMZN|MSFT|META|UNH|GOOGL|TSLA|V|CRM|DIS|ADBE|PG|MA|WMT|ACN|HD|JPM|NKE|NVDA|NFLX|CMCSA|JNJ|ORCL|TMO|ABT|BAC|NOW|QCOM|KO|PEP
2021-01-25,30,-0.3708,0.0000,-0.3708,6.3688,2.4973,AAPL|AMZN|MSFT|TSLA|META|GOOGL|UNH|V|CRM|DIS|PG|ADBE|MA|WMT|HD|JPM|ACN|NFLX|NVDA|JNJ|NKE|TMO|CMCSA|ABT|BAC|ORCL|QCOM|NOW|PEP|LLY
2021-02-22,30,-0.2572,0.0000,-0.2572,6.1116,1.6954,AMZN|AAPL|MSFT|META|GOOGL|TSLA|UNH|V|CRM|DIS|JPM|MA|ADBE|PG|HD|WMT|ACN|NVDA|NFLX|JNJ|NKE|CMCSA|BAC|ABT|ORCL|TMO|NOW|QCOM|KO|PEP
2021-03-22,30,1.5505,0.0000,1.5505,7.6622,1.2003,AAPL|AMZN|MSFT|META|GOOGL|UNH|TSLA|V|DIS|CRM|JPM|MA|PG|ADBE|HD|ACN|WMT|CMCSA|BAC|NKE|NVDA|JNJ|NFLX|ABT|ORCL|TMO|NOW|KO|PEP|QCOM
2021-04-19,30,-0.9013,0.0000,-0.9013,6.7609,2.4512,AAPL|AMZN|MSFT|META|GOOGL|UNH|TSLA|V|CRM|DIS|MA|ADBE|HD|JPM|PG|ACN|WMT|NVDA|BAC|ORCL|NFLX|CMCSA|JNJ|ABT|NKE|TMO|NOW|KO|PEP|QCOM
2021-05-17,30,-0.1934,0.0000,-0.1934,6.5675,1.0596,AMZN|AAPL|MSFT|META|GOOGL|UNH|TSLA|V|JPM|CRM|MA|HD|PG|DIS|ADBE|ACN|WMT|BAC|NVDA|ORCL|JNJ|CMCSA|NKE|ABT|NFLX|TMO|XOM|KO|PEP|COST
2021-06-14,30,1.9112,0.0000,1.9112,8.4787,1.6584,AMZN|AAPL|MSFT|META|GOOGL|UNH|TSLA|V|CRM|ADBE|JPM|DIS|MA|PG|HD|NVDA|ACN|WMT|BAC|ORCL|CMCSA|JNJ|NKE|NFLX|ABT|TMO|NOW|KO|INTU|XOM
2021-07-12,30,-0.1285,0.0000,-0.1285,8.3502,2.2642,AMZN|AAPL|MSFT|META|GOOGL|UNH|TSLA|V|ADBE|CRM|NVDA|DIS|JPM|MA|ACN|HD|PG|WMT|ORCL|NKE|BAC|CMCSA|JNJ|NFLX|TMO|ABT|NOW|INTU|KO|PEP
2021-08-09,30,0.7967,0.0000,0.7967,9.1469,1.7383,AAPL|MSFT|AMZN|META|GOOGL|UNH|TSLA|V|ADBE|CRM|NVDA|JPM|ACN|PG|HD|MA|DIS|WMT|NKE|ORCL|BAC|CMCSA|JNJ|TMO|NFLX|ABT|NOW|INTU|LLY|COST
2021-09-06,30,0.0737,0.0000,0.0737,9.2206,0.0586,AAPL|MSFT|AMZN|META|GOOGL|UNH|TSLA|ADBE|V|CRM|NVDA|ACN|JPM|PG|HD|DIS|MA|WMT|ORCL|NKE|CMCSA|BAC|NFLX|JNJ|TMO|NOW|ABT|INTU|COST|LLY
2021-10-04,30,0.7536,0.0000,0.7536,9.9741,0.7399,MSFT|AAPL|AMZN|GOOGL|META|UNH|TSLA|CRM|V|ADBE|JPM|ACN|NVDA|HD|PG|DIS|MA|ORCL|WMT|BAC|NFLX|CMCSA|NKE|TMO|JNJ|NOW|ABT|INTU|COST|PEP
2021-11-01,30,-0.8771,0.0000,-0.8771,9.0971,1.9948,MSFT|AAPL|AMZN|TSLA|GOOGL|META|UNH|CRM|NVDA|ADBE|V|ACN|HD|JPM|PG|DIS|WMT|BAC|MA|ORCL|NFLX|NKE|TMO|NOW|ABT|JNJ|CMCSA|INTU|COST|BX
2021-11-29,30,4.1149,0.0000,4.1149,13.2120,1.5138,MSFT|AAPL|AMZN|TSLA|GOOGL|META|UNH|NVDA|CRM|ADBE|HD|ACN|V|PG|JPM|MA|WMT|BAC|ORCL|NKE|NFLX|DIS|TMO|INTU|NOW|ABT|COST|JNJ|CMCSA|QCOM
2021-12-27,30,-1.7490,0.0000,-1.7490,11.4630,1.7488,AAPL|MSFT|AMZN|GOOGL|TSLA|META|UNH|NVDA|ACN|HD|V|CRM|PG|ADBE|JPM|MA|DIS|WMT|BAC|NKE|ORCL|TMO|NFLX|ABT|JNJ|INTU|COST|NOW|CMCSA|QCOM
2022-01-24,30,-0.0483,0.0000,-0.0483,11.4147,0.2476,AAPL|MSFT|AMZN|GOOGL|UNH|META|TSLA|NVDA|PG|V|HD|ACN|CRM|ADBE|JPM|MA|WMT|BAC|DIS|ORCL|NKE|TMO|JNJ|ABT|CMCSA|XOM|COST|PEP|QCOM|INTU
2022-02-21,30,0.0000,0.0000,0.0000,11.4147,0.0000,AAPL|MSFT|AMZN|GOOGL|UNH|TSLA|META|V|NVDA|PG|HD|ACN|JPM|MA|CRM|BAC|ADBE|DIS|WMT|NKE|JNJ|ORCL|TMO|XOM|COST|ABT|CMCSA|ABBV|KO|QCOM
2022-03-21,30,2.4874,0.0000,2.4874,13.9021,1.7897,AAPL|MSFT|AMZN|UNH|GOOGL|TSLA|META|NVDA|V|PG|ACN|HD|CRM|MA|JPM|ADBE|WMT|BAC|DIS|ORCL|JNJ|TMO|XOM|COST|ABBV|ABT|NKE|LLY|CVX|CMCSA
