period_start,n_signals,n_active,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2020-10-05,12,12,-5.4381,0.0058,-5.4323,-5.4323,1.423,ABT|AVGO|BX|CMCSA|COST|KO|NKE|NOW|ORCL|PG|UNH|WFC
2020-11-02,7,7,9.1606,0.0059,9.1664,3.7341,1.0842,ABBV|COST|GOOG|GOOGL|JPM|QCOM|XOM
2020-12-28,34,30,7.9768,0.0053,7.9821,11.7162,3.4926,AAPL|ABBV|ABT|AMZN|AVGO|BAC|BX|CMCSA|CVX|DIS|GOOG|GOOGL|IBM|INTU|JPM|LLY|MA|MRK|MSFT|NFLX|NOW|NVDA|PG|QCOM|TSLA|UNH|V|WFC|WMT|XOM
2021-01-25,26,26,2.0932,0.0054,2.0985,13.8147,3.2477,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|BAC|BX|CRM|CVX|GOOG|HD|JNJ|JPM|LLY|MRK|MSFT|NFLX|NVDA|ORCL|QCOM|TSLA|UNH|WFC|WMT|XOM
2021-02-22,20,20,-2.5143,0.0056,-2.5087,11.306,2.293,ABT|AVGO|BAC|BX|CMCSA|CRM|CVX|IBM|INTU|JPM|KO|MA|MSFT|NKE|NOW|NVDA|ORCL|V|WFC|XOM
2021-03-22,21,21,9.6602,0.0057,9.6659,20.9719,1.7734,BAC|BX|CMCSA|CVX|DIS|GOOG|GOOGL|HD|IBM|JPM|KO|MA|MRK|MSFT|NKE|ORCL|PEP|PG|UNH|WFC|XOM
2021-04-19,34,30,-0.815,0.0054,-0.8097,20.1622,3.1443,AAPL|ABBV|ABT|ADBE|AMZN|BAC|BX|COST|CRM|CVX|GOOG|HD|IBM|JPM|LLY|MA|MRK|MSFT|NFLX|NOW|NVDA|ORCL|PG|QCOM|TSLA|UNH|V|WFC|WMT|XOM
2021-05-17,23,23,1.5076,0.0057,1.5132,21.6754,2.0234,ABBV|BAC|BX|CMCSA|COST|CVX|GOOG|GOOGL|IBM|INTU|JNJ|JPM|KO|LLY|MRK|NKE|ORCL|PEP|PG|UNH|V|WFC|XOM
2021-06-14,24,24,6.917,0.0057,6.9227,28.5981,2.0337,AAPL|ADBE|AVGO|BX|CMCSA|CRM|DIS|GOOG|GOOGL|IBM|INTU|KO|LLY|MA|MSFT|NFLX|NOW|NVDA|ORCL|PEP|QCOM|TSLA|V|WMT
2021-07-12,30,30,0.9337,0.0055,0.9392,29.5373,2.8426,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|BX|CMCSA|COST|DIS|GOOG|HD|INTU|JNJ|JPM|LLY|MA|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|PG|QCOM|TSLA|UNH|V
2021-08-09,27,27,3.0143,0.0056,3.0199,32.5572,2.2913,AAPL|ABT|ADBE|BAC|BX|CMCSA|COST|CRM|GOOG|GOOGL|HD|IBM|INTU|JNJ|KO|LLY|MSFT|NKE|NOW|ORCL|PEP|PG|QCOM|TSLA|V|WFC|WMT
2021-09-03,29,29,-5.0578,0.0056,-5.0522,27.505,2.2235,AAPL|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|DIS|GOOG|GOOGL|HD|INTU|JNJ|JPM|KO|MRK|MSFT|NFLX|NOW|NVDA|ORCL|PEP|PG|TSLA|UNH|WMT
2021-10-04,11,11,4.0276,0.0058,4.0334,31.5384,1.3136,BAC|CRM|CVX|IBM|JPM|MA|MRK|NFLX|TSLA|WFC|XOM
2021-11-01,31,30,1.3057,0.0055,1.3113,32.8497,2.6004,AAPL|ABBV|ABT|ADBE|AVGO|BAC|BX|COST|CRM|CVX|GOOGL|HD|INTU|JNJ|JPM|KO|LLY|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PG|QCOM|UNH|WFC|WMT|XOM
2021-12-27,26,26,-8.1841,0.0056,-8.1785,24.6712,2.3738,AAPL|ABBV|ABT|AMZN|AVGO|COST|CVX|GOOG|GOOGL|HD|IBM|INTU|JNJ|KO|LLY|MA|MSFT|NKE|NVDA|PEP|PG|QCOM|TMO|TSLA|UNH|V
2022-01-24,6,6,-0.2143,0.1494,-0.0649,24.6063,0.7266,CVX|KO|MRK|PEP|WFC|XOM
2022-02-18,20,20,1.283,0.1389,1.4219,26.0282,2.4281,AAPL|ABBV|AMZN|AVGO|BAC|BX|COST|CVX|DIS|GOOG|JNJ|JPM|KO|MA|NFLX|NVDA|UNH|V|WFC|XOM
2022-04-18,17,17,-4.1238,0.1428,-3.981,22.0472,1.7963,ABBV|AMZN|AVGO|CMCSA|COST|CVX|IBM|JNJ|KO|LLY|MRK|ORCL|PEP|TSLA|UNH|WMT|XOM
2022-05-16,7,7,-1.9534,0.1497,-1.8037,20.2435,0.669,IBM|JNJ|KO|LLY|MRK|PEP|XOM
2022-06-13,5,5,1.6967,0.1499,1.8466,22.0901,0.6375,CRM|IBM|INTU|NOW|XOM
2022-07-11,29,29,12.1691,0.13,12.2991,34.3892,3.8738,AAPL|ABBV|ABT|ADBE|AMZN|COST|CRM|GOOG|GOOGL|HD|IBM|INTU|JNJ|KO|LLY|MA|MRK|MSFT|NFLX|NOW|ORCL|PEP|PG|QCOM|TSLA|UNH|V|WFC|WMT
2022-08-08,30,30,-11.72,0.1326,-11.5873,22.8019,3.4464,AAPL|ABT|ADBE|AMZN|AVGO|BAC|BX|COST|CRM|DIS|HD|INTU|JPM|KO|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|QCOM|TSLA|UNH|V|WFC|WMT|XOM
2022-09-02,6,6,-2.5323,0.1499,-2.3824,20.4195,0.6332,CVX|DIS|TMO|WFC|WMT|XOM
2022-10-03,5,5,4.7544,0.1489,4.9032,25.3227,0.8111,ABBV|JNJ|LLY|MRK|NFLX
2022-10-31,33,30,4.2481,0.1323,4.3805,29.7032,3.4981,AAPL|ABBV|ADBE|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|DIS|HD|IBM|INTU|JNJ|JPM|KO|LLY|MA|MRK|NFLX|NKE|NOW|NVDA|ORCL|PG|QCOM|WFC|WMT|XOM
2022-11-28,29,29,-4.9138,0.1369,-4.7769,24.9263,2.754,ABBV|ABT|ADBE|AVGO|BAC|CMCSA|COST|GOOG|GOOGL|HD|IBM|JNJ|JPM|KO|LLY|MA|META|MRK|MSFT|NKE|NVDA|ORCL|PEP|PG|QCOM|TMO|V|WFC|WMT
2022-12-23,13,13,6.0146,0.1458,6.1603,31.0866,1.3138,ABBV|ABT|ADBE|AVGO|JNJ|KO|LLY|META|MRK|NFLX|NKE|PG|TMO
2023-01-23,31,30,0.4403,0.3264,0.7667,31.8533,3.7813,AAPL|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|IBM|INTU|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|QCOM|TMO|TSLA|V|WFC|XOM
2023-02-17,16,16,0.4303,0.3566,0.7869,32.6402,1.8211,AAPL|ABBV|BAC|BX|COST|CRM|HD|JPM|META|MSFT|NVDA|PEP|TSLA|UNH|WFC|WMT
2023-03-20,16,16,3.9826,0.3569,4.3396,36.9798,1.7995,AAPL|ABBV|ADBE|AMZN|AVGO|CRM|GOOG|GOOGL|INTU|KO|LLY|META|MSFT|NVDA|PEP|PG
2023-04-17,38,30,-1.215,0.3344,-0.8806,36.0992,3.2645,AAPL|ADBE|AMZN|BAC|BX|CMCSA|COST|CRM|DIS|GOOG|GOOGL|HD|IBM|INTU|JPM|LLY|MA|META|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|TSLA|V|WFC|WMT|XOM
2023-05-15,21,21,13.6431,0.36,14.0031,50.1023,1.5994,AAPL|ABT|AMZN|AVGO|CMCSA|COST|CRM|GOOG|GOOGL|KO|LLY|MA|META|MRK|MSFT|NFLX|NVDA|ORCL|PEP|PG|WMT
2023-06-12,30,30,-2.2376,0.3445,-1.8931,48.2092,2.6085,AAPL|ADBE|AMZN|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|IBM|INTU|JNJ|JPM|LLY|META|MSFT|NFLX|NOW|NVDA|ORCL|QCOM|TSLA|UNH|WFC|WMT|XOM
2023-07-10,24,24,4.8571,0.3486,5.2057,53.4149,2.3392,AAPL|ABT|ADBE|AMZN|AVGO|BX|CMCSA|COST|HD|INTU|JPM|LLY|MA|META|MRK|NFLX|NOW|NVDA|PEP|PG|TSLA|V|WFC|WMT
2023-08-04,2,2,-0.7955,0.3809,-0.4146,53.0003,0.242,JNJ|TMO
2023-08-07,31,30,0.331,0.3461,0.6772,53.6775,2.5012,ABBV|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CVX|GOOG|GOOGL|HD|IBM|INTU|JPM|KO|LLY|MA|META|NKE|NVDA|ORCL|PEP|QCOM|UNH|V|WFC|WMT|XOM
2023-08-31,1,1,-0.286,0.3835,0.0975,53.775,0.0715,TMO
2023-09-01,19,19,-4.8996,0.3623,-4.5373,49.2377,1.4488,AAPL|ADBE|BX|CMCSA|CRM|CVX|GOOG|GOOGL|HD|IBM|INTU|LLY|MA|MRK|NVDA|ORCL|V|WMT|XOM
2023-10-02,9,9,-3.4335,0.3687,-3.0648,46.1729,1.037,ABBV|BX|COST|DIS|META|NOW|TSLA|UNH|XOM
2023-10-27,1,1,-0.0151,0.3821,0.367,46.5399,0.1617,LLY
2023-10-30,14,14,11.4052,0.3665,11.7717,58.3116,1.1783,ADBE|AMZN|AVGO|IBM|KO|MRK|MSFT|NFLX|NKE|NOW|PG|UNH|V|WMT
