period_start,n_signals,n_active,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2023-11-27,34,30,12.6907,0.35,13.0407,71.3523,2.2527,AAPL|ABT|ADBE|AMZN|AVGO|BAC|CMCSA|COST|CRM|DIS|GOOG|GOOGL|HD|IBM|JPM|LLY|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|QCOM|TSLA|UNH|V|WFC
2023-12-22,29,29,7.1924,0.3514,7.5438,78.8961,2.1559,AAPL|ABBV|ABT|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|GOOG|GOOGL|HD|IBM|INTU|JNJ|JPM|MA|META|MRK|NFLX|NKE|NOW|NVDA|QCOM|TSLA|V|WFC
2024-01-22,30,30,12.4119,0.3538,12.7657,91.6618,2.4521,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|COST|CRM|DIS|GOOG|GOOGL|HD|IBM|INTU|JNJ|JPM|KO|LLY|MA|META|MRK|MSFT|NOW|NVDA|ORCL|PG|QCOM|TMO|V|WMT
2024-02-16,27,27,5.0422,0.3524,5.3946,97.0564,2.5459,ABBV|AMZN|BAC|BX|COST|CRM|CVX|DIS|HD|IBM|JPM|LLY|MA|META|MRK|MSFT|NFLX|NKE|NVDA|ORCL|PEP|PG|UNH|V|WFC|WMT|XOM
2024-03-18,30,30,-4.3468,0.3584,-3.9885,93.0679,2.162,ABBV|AMZN|AVGO|BAC|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|IBM|JNJ|JPM|KO|MA|META|MSFT|NFLX|NOW|NVDA|ORCL|PEP|PG|QCOM|TMO|V|WFC|XOM
2024-04-15,9,9,0.364,0.3749,0.7389,93.8068,1.1118,AMZN|AVGO|CVX|GOOG|GOOGL|META|MRK|QCOM|XOM
2024-05-13,30,30,2.1727,0.356,2.5286,96.3354,2.3142,AAPL|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|GOOG|GOOGL|HD|INTU|JNJ|JPM|KO|LLY|MRK|MSFT|NFLX|NVDA|PEP|PG|QCOM|TSLA|UNH|V|WFC|WMT
2024-06-10,24,24,11.9268,0.3627,12.2895,108.6249,1.8883,AAPL|ABBV|ABT|AMZN|AVGO|BAC|COST|GOOG|GOOGL|IBM|JPM|KO|LLY|META|MRK|MSFT|NFLX|NKE|ORCL|PG|QCOM|TMO|TSLA|WMT
2024-07-08,22,22,-8.0334,0.3535,-7.6799,100.945,2.4752,AAPL|ADBE|AMZN|BAC|BX|COST|CRM|GOOG|GOOGL|HD|IBM|JPM|LLY|META|MSFT|NFLX|NOW|NVDA|ORCL|TSLA|WFC|WMT
2024-08-02,1,1,0.3468,0.3917,0.7384,101.6834,0.0413,ABT
2024-08-05,14,14,2.6674,0.3682,3.0356,104.719,1.5376,ABBV|BX|CMCSA|HD|IBM|INTU|JNJ|KO|NOW|PEP|PG|TMO|UNH|XOM
2024-08-30,38,30,2.8857,0.3436,3.2293,107.9483,3.1067,AAPL|ABBV|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|INTU|JPM|LLY|META|MRK|MSFT|NFLX|NKE|NVDA|ORCL|QCOM|TSLA|UNH|WFC|XOM
2024-09-30,25,25,-1.8233,0.3536,-1.4697,106.4786,2.4686,AAPL|ABBV|ABT|AMZN|AVGO|BX|CMCSA|CRM|DIS|GOOG|GOOGL|HD|IBM|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PG|TMO|TSLA|WMT
2024-10-28,26,26,15.3936,0.346,15.7396,122.2182,2.9492,AAPL|ABT|AMZN|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|JPM|LLY|MA|META|NFLX|NOW|NVDA|ORCL|QCOM|TSLA|V|WFC|WMT|XOM
2024-11-25,28,28,1.8651,0.356,2.2211,124.4393,2.3144,ABT|ADBE|AMZN|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|IBM|INTU|JPM|MA|NFLX|NKE|NOW|ORCL|PG|TSLA|UNH|V|WFC|WMT|XOM
2024-12-23,19,19,-4.7733,0.3653,-4.408,120.0313,1.7235,AAPL|ABBV|AMZN|AVGO|CRM|GOOG|GOOGL|INTU|LLY|MA|META|MSFT|NFLX|NOW|NVDA|TMO|TSLA|V|WMT
2025-01-17,19,19,5.2241,0.3065,5.5306,125.5619,1.8343,AMZN|AVGO|BAC|CVX|GOOG|GOOGL|HD|IBM|JNJ|JPM|KO|META|QCOM|TMO|UNH|V|WFC|WMT|XOM
2025-02-14,27,27,-7.1053,0.2982,-6.8071,118.7548,2.4637,AAPL|ABBV|ABT|ADBE|AMZN|BAC|COST|CRM|DIS|HD|IBM|JNJ|JPM|KO|LLY|MA|META|NFLX|NKE|NVDA|ORCL|PG|QCOM|UNH|V|WFC|WMT
2025-03-17,11,11,-2.9653,0.3194,-2.6459,116.1089,0.858,ABBV|CMCSA|CVX|INTU|JNJ|KO|MRK|NKE|PEP|PG|XOM
2025-04-14,9,9,3.8569,0.3176,4.1745,120.2834,0.9921,ABT|COST|HD|JPM|KO|TSLA|UNH|V|WMT
2025-05-09,1,1,1.6297,0.3286,1.9583,122.2417,0.1614,INTU
2025-05-12,31,30,0.6164,0.2897,0.9061,123.1478,3.1034,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|DIS|HD|IBM|JPM|LLY|MA|META|MRK|MSFT|NFLX|NKE|NVDA|ORCL|QCOM|TSLA|V|WFC|WMT|XOM
2025-07-07,30,30,0.0281,0.2879,0.316,123.4638,3.2386,ABT|AMZN|AVGO|BAC|BX|CMCSA|CVX|DIS|GOOG|GOOGL|IBM|INTU|JNJ|JPM|KO|LLY|META|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|QCOM|V|WFC|WMT|XOM
2025-08-04,18,18,3.0172,0.309,3.3262,126.79,1.6458,ABBV|AVGO|BX|CVX|GOOG|GOOGL|HD|JNJ|JPM|MA|META|MSFT|NVDA|ORCL|PEP|TMO|TSLA|WMT
2025-08-29,28,28,4.9897,0.2986,5.2883,132.0783,2.4294,AAPL|ABBV|ABT|ADBE|AMZN|BAC|BX|CMCSA|CRM|CVX|GOOG|GOOGL|HD|JNJ|JPM|KO|MA|MRK|NFLX|NKE|PEP|PG|QCOM|TSLA|UNH|V|WFC|XOM
2025-09-29,23,23,2.2901,0.2976,2.5877,134.666,2.5072,AAPL|ABBV|ABT|ADBE|AVGO|BAC|BX|GOOG|GOOGL|HD|IBM|JNJ|JPM|META|MSFT|NOW|NVDA|ORCL|QCOM|TSLA|UNH|WFC|WMT
2025-10-27,29,29,0.4179,0.2866,0.7045,135.3705,3.338,AAPL|ABBV|AMZN|AVGO|BAC|COST|CRM|GOOG|GOOGL|IBM|INTU|JNJ|KO|LLY|MA|META|MRK|MSFT|NOW|NVDA|PEP|QCOM|TMO|TSLA|UNH|V|WFC|WMT|XOM
2025-11-24,11,11,-3.0587,0.317,-2.7417,132.6288,1.0408,AAPL|ABBV|ABT|AVGO|GOOG|GOOGL|JNJ|KO|LLY|MRK|XOM
2025-12-22,27,27,-0.5037,0.3014,-0.2022,132.4266,2.2178,ADBE|AMZN|BAC|BX|CMCSA|CRM|CVX|DIS|HD|INTU|JNJ|JPM|LLY|MA|META|MRK|MSFT|NVDA|PEP|QCOM|TMO|TSLA|UNH|V|WFC|WMT|XOM
2026-01-09,1,1,-1.3526,0.3263,-1.0263,131.4003,0.3382,BX
2026-01-12,1,1,-0.0245,0.3282,0.3037,131.704,0.1951,COST
2026-01-16,17,17,4.1625,0.3071,4.4697,136.1737,1.7883,AMZN|AVGO|CVX|GOOG|GOOGL|HD|IBM|JNJ|KO|MRK|NKE|NVDA|PG|TMO|UNH|WMT|XOM
2026-02-13,15,15,-4.5798,0.3104,-4.2695,131.9042,1.5423,AAPL|ABBV|CMCSA|COST|CVX|HD|JNJ|KO|LLY|META|MRK|PEP|PG|WMT|XOM
