period_start,n_tickers,pnl_pct,cumulative_pct,tickers
2020-09-01,30,0.0000,0.0000,AMZN|AAPL|MSFT|META|GOOGL|UNH|CRM|TSLA|V|ADBE|PG|MA|WMT|HD|ACN|DIS|NVDA|NFLX|JPM|JNJ|CMCSA|NKE|ABT|TMO|ORCL|NOW|BAC|PEP|KO|COST
2020-10-05,30,2.2074,2.2074,AMZN|AAPL|MSFT|META|UNH|GOOGL|CRM|V|TSLA|PG|ADBE|MA|HD|WMT|NVDA|ACN|DIS|NFLX|JPM|NKE|JNJ|CMCSA|ABT|TMO|ORCL|NOW|BAC|PEP|KO|COST
2020-11-02,30,-4.5462,-2.3387,AMZN|AAPL|MSFT|META|UNH|GOOGL|CRM|V|TSLA|PG|ADBE|WMT|HD|MA|ACN|DIS|NVDA|JPM|NFLX|NKE|TMO|JNJ|ABT|CMCSA|ORCL|NOW|BAC|PEP|KO|COST
2020-11-30,30,0.0000,-2.3387,AMZN|AAPL|MSFT|META|UNH|GOOGL|TSLA|V|CRM|PG|ADBE|WMT|MA|HD|DIS|ACN|JPM|NVDA|NKE|CMCSA|NFLX|JNJ|TMO|ABT|NOW|ORCL|BAC|QCOM|PEP|KO
2020-12-28,30,-2.0436,-4.3823,AAPL|AMZN|MSFT|META|UNH|GOOGL|TSLA|V|CRM|DIS|ADBE|PG|MA|WMT|ACN|HD|JPM|NKE|NVDA|NFLX|CMCSA|JNJ|ORCL|TMO|ABT|BAC|NOW|QCOM|KO|PEP
2021-01-25,30,-1.9611,-6.3434,AAPL|AMZN|MSFT|TSLA|META|GOOGL|UNH|V|CRM|DIS|PG|ADBE|MA|WMT|HD|JPM|ACN|NFLX|NVDA|JNJ|NKE|TMO|CMCSA|ABT|BAC|ORCL|QCOM|NOW|PEP|LLY
2021-02-22,30,0.7230,-5.6204,AMZN|AAPL|MSFT|META|GOOGL|TSLA|UNH|V|CRM|DIS|JPM|MA|ADBE|PG|HD|WMT|ACN|NVDA|NFLX|JNJ|NKE|CMCSA|BAC|ABT|ORCL|TMO|NOW|QCOM|KO|PEP
2021-03-22,30,-4.5461,-10.1665,AAPL|AMZN|MSFT|META|GOOGL|UNH|TSLA|V|DIS|CRM|JPM|MA|PG|ADBE|HD|ACN|WMT|CMCSA|BAC|NKE|NVDA|JNJ|NFLX|ABT|ORCL|TMO|NOW|KO|PEP|QCOM
2021-04-19,30,-0.9603,-11.1269,AAPL|AMZN|MSFT|META|GOOGL|UNH|TSLA|V|CRM|DIS|MA|ADBE|HD|JPM|PG|ACN|WMT|NVDA|BAC|ORCL|NFLX|CMCSA|JNJ|ABT|NKE|TMO|NOW|KO|PEP|QCOM
2021-05-17,30,-0.9488,-12.0757,AMZN|AAPL|MSFT|META|GOOGL|UNH|TSLA|V|JPM|CRM|MA|HD|PG|DIS|ADBE|ACN|WMT|BAC|NVDA|ORCL|JNJ|CMCSA|NKE|ABT|NFLX|TMO|XOM|KO|PEP|COST
