period_start,n_signals,n_active,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2022-10-31,33,30,1.062,0.1485,1.2105,8.649,3.4981,AAPL|ABBV|ADBE|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|DIS|HD|IBM|INTU|JNJ|JPM|KO|LLY|MA|MRK|NFLX|NKE|NOW|NVDA|ORCL|PG|QCOM|WFC|WMT|XOM
2022-11-28,29,29,-1.2285,0.1496,-1.0788,7.5702,2.754,ABBV|ABT|ADBE|AVGO|BAC|CMCSA|COST|GOOG|GOOGL|HD|IBM|JNJ|JPM|KO|LLY|MA|META|MRK|MSFT|NKE|NVDA|ORCL|PEP|PG|QCOM|TMO|V|WFC|WMT
2022-12-23,13,13,1.5036,0.1518,1.6555,9.2257,1.3138,ABBV|ABT|ADBE|AVGO|JNJ|KO|LLY|META|MRK|NFLX|NKE|PG|TMO
2023-01-23,31,30,0.1101,0.3701,0.4801,9.7058,3.7813,AAPL|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|IBM|INTU|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|QCOM|TMO|TSLA|V|WFC|XOM
2023-02-17,16,16,0.1076,0.3776,0.4852,10.191,1.8211,AAPL|ABBV|BAC|BX|COST|CRM|HD|JPM|META|MSFT|NVDA|PEP|TSLA|UNH|WFC|WMT
2023-03-20,16,16,0.9957,0.3777,1.3734,11.5644,1.7995,AAPL|ABBV|ADBE|AMZN|AVGO|CRM|GOOG|GOOGL|INTU|KO|LLY|META|MSFT|NVDA|PEP|PG
2023-04-17,38,30,-0.3038,0.3721,0.0683,11.6327,3.2645,AAPL|ADBE|AMZN|BAC|BX|CMCSA|COST|CRM|DIS|GOOG|GOOGL|HD|IBM|INTU|JPM|LLY|MA|META|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|TSLA|V|WFC|WMT|XOM
2023-05-15,21,21,3.4108,0.3785,3.7892,15.4219,1.5994,AAPL|ABT|AMZN|AVGO|CMCSA|COST|CRM|GOOG|GOOGL|KO|LLY|MA|META|MRK|MSFT|NFLX|NVDA|ORCL|PEP|PG|WMT
2023-06-12,30,30,-0.5594,0.3746,-0.1848,15.2371,2.6085,AAPL|ADBE|AMZN|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|IBM|INTU|JNJ|JPM|LLY|META|MSFT|NFLX|NOW|NVDA|ORCL|QCOM|TSLA|UNH|WFC|WMT|XOM
2023-07-10,24,24,1.2143,0.3756,1.5899,16.827,2.3392,AAPL|ABT|ADBE|AMZN|AVGO|BX|CMCSA|COST|HD|INTU|JPM|LLY|MA|META|MRK|NFLX|NOW|NVDA|PEP|PG|TSLA|V|WFC|WMT
2023-08-04,2,2,-0.1989,0.3837,0.1848,17.0118,0.242,JNJ|TMO
2023-08-07,31,30,0.0828,0.375,0.4578,17.4696,2.5012,ABBV|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CVX|GOOG|GOOGL|HD|IBM|INTU|JPM|KO|LLY|MA|META|NKE|NVDA|ORCL|PEP|QCOM|UNH|V|WFC|WMT|XOM
2023-08-31,1,1,-0.0715,0.3843,0.3128,17.7824,0.0715,TMO
2023-09-01,19,19,-1.2249,0.379,-0.8459,16.9365,1.4488,AAPL|ADBE|BX|CMCSA|CRM|CVX|GOOG|GOOGL|HD|IBM|INTU|LLY|MA|MRK|NVDA|ORCL|V|WMT|XOM
2023-10-02,9,9,-0.8584,0.3806,-0.4777,16.4588,1.037,ABBV|BX|COST|DIS|META|NOW|TSLA|UNH|XOM
2023-10-27,1,1,-0.0038,0.384,0.3802,16.839,0.1617,LLY
2023-10-30,14,14,2.8513,0.3801,3.2314,20.0704,1.1783,ADBE|AMZN|AVGO|IBM|KO|MRK|MSFT|NFLX|NKE|NOW|PG|UNH|V|WMT
2023-11-27,34,30,3.1727,0.376,3.5486,23.619,2.2527,AAPL|ABT|ADBE|AMZN|AVGO|BAC|CMCSA|COST|CRM|DIS|GOOG|GOOGL|HD|IBM|JPM|LLY|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|QCOM|TSLA|UNH|V|WFC
2023-12-22,29,29,1.7981,0.3763,2.1744,25.7934,2.1559,AAPL|ABBV|ABT|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|GOOG|GOOGL|HD|IBM|INTU|JNJ|JPM|MA|META|MRK|NFLX|NKE|NOW|NVDA|QCOM|TSLA|V|WFC
2024-01-22,30,30,3.103,0.3827,3.4857,29.2791,2.4521,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|COST|CRM|DIS|GOOG|GOOGL|HD|IBM|INTU|JNJ|JPM|KO|LLY|MA|META|MRK|MSFT|NOW|NVDA|ORCL|PG|QCOM|TMO|V|WMT
2024-02-16,27,27,1.2606,0.3823,1.6429,30.922,2.5459,ABBV|AMZN|BAC|BX|COST|CRM|CVX|DIS|HD|IBM|JPM|LLY|MA|META|MRK|MSFT|NFLX|NKE|NVDA|ORCL|PEP|PG|UNH|V|WFC|WMT|XOM
2024-03-18,30,30,-1.0867,0.3838,-0.7029,30.2191,2.162,ABBV|AMZN|AVGO|BAC|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|IBM|JNJ|JPM|KO|MA|META|MSFT|NFLX|NOW|NVDA|ORCL|PEP|PG|QCOM|TMO|V|WFC|XOM
2024-04-15,9,9,0.091,0.3879,0.479,30.6981,1.1118,AMZN|AVGO|CVX|GOOG|GOOGL|META|MRK|QCOM|XOM
2024-05-13,30,30,0.5432,0.3832,0.9264,31.6245,2.3142,AAPL|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|GOOG|GOOGL|HD|INTU|JNJ|JPM|KO|LLY|MRK|MSFT|NFLX|NVDA|PEP|PG|QCOM|TSLA|UNH|V|WFC|WMT
2024-06-10,24,24,2.9817,0.3849,3.3666,34.9911,1.8883,AAPL|ABBV|ABT|AMZN|AVGO|BAC|COST|GOOG|GOOGL|IBM|JPM|KO|LLY|META|MRK|MSFT|NFLX|NKE|ORCL|PG|QCOM|TMO|TSLA|WMT
2024-07-08,22,22,-2.0083,0.3826,-1.6257,33.3654,2.4752,AAPL|ADBE|AMZN|BAC|BX|COST|CRM|GOOG|GOOGL|HD|IBM|JPM|LLY|META|MSFT|NFLX|NOW|NVDA|ORCL|TSLA|WFC|WMT
2024-08-02,1,1,0.0867,0.3921,0.4788,33.8442,0.0413,ABT
2024-08-05,14,14,0.6669,0.3863,1.0531,34.8973,1.5376,ABBV|BX|CMCSA|HD|IBM|INTU|JNJ|KO|NOW|PEP|PG|TMO|UNH|XOM
2024-08-30,38,30,0.7214,0.3801,1.1016,35.9989,3.1067,AAPL|ABBV|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|INTU|JPM|LLY|META|MRK|MSFT|NFLX|NKE|NVDA|ORCL|QCOM|TSLA|UNH|WFC|XOM
2024-09-30,25,25,-0.4558,0.3826,-0.0732,35.9257,2.4686,AAPL|ABBV|ABT|AMZN|AVGO|BX|CMCSA|CRM|DIS|GOOG|GOOGL|HD|IBM|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PG|TMO|TSLA|WMT
2024-10-28,26,26,3.8484,0.3807,4.2291,40.1548,2.9492,AAPL|ABT|AMZN|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|JPM|LLY|MA|META|NFLX|NOW|NVDA|ORCL|QCOM|TSLA|V|WFC|WMT|XOM
2024-11-25,28,28,0.4663,0.3832,0.8495,41.0043,2.3144,ABT|ADBE|AMZN|BAC|BX|CMCSA|COST|CRM|CVX|DIS|GOOG|GOOGL|HD|IBM|INTU|JPM|MA|NFLX|NKE|NOW|ORCL|PG|TSLA|UNH|V|WFC|WMT|XOM
2024-12-23,19,19,-1.1933,0.3855,-0.8078,40.1965,1.7235,AAPL|ABBV|AMZN|AVGO|CRM|GOOG|GOOGL|INTU|LLY|MA|META|MSFT|NFLX|NOW|NVDA|TMO|TSLA|V|WMT
2025-01-17,19,19,1.306,0.3247,1.6307,41.8272,1.8343,AMZN|AVGO|BAC|CVX|GOOG|GOOGL|HD|IBM|JNJ|JPM|KO|META|QCOM|TMO|UNH|V|WFC|WMT|XOM
2025-02-14,27,27,-1.7763,0.3226,-1.4537,40.3735,2.4637,AAPL|ABBV|ABT|ADBE|AMZN|BAC|COST|CRM|DIS|HD|IBM|JNJ|JPM|KO|LLY|MA|META|NFLX|NKE|NVDA|ORCL|PG|QCOM|UNH|V|WFC|WMT
2025-03-17,11,11,-0.7413,0.3279,-0.4134,39.9601,0.858,ABBV|CMCSA|CVX|INTU|JNJ|KO|MRK|NKE|PEP|PG|XOM
2025-04-14,9,9,0.9642,0.3275,1.2917,41.2518,0.9921,ABT|COST|HD|JPM|KO|TSLA|UNH|V|WMT
2025-05-09,1,1,0.4074,0.3302,0.7376,41.9894,0.1614,INTU
2025-05-12,31,30,0.1541,0.3205,0.4746,42.464,3.1034,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|DIS|HD|IBM|JPM|LLY|MA|META|MRK|MSFT|NFLX|NKE|NVDA|ORCL|QCOM|TSLA|V|WFC|WMT|XOM
2025-07-07,30,30,0.007,0.3201,0.3271,42.7911,3.2386,ABT|AMZN|AVGO|BAC|BX|CMCSA|CVX|DIS|GOOG|GOOGL|IBM|INTU|JNJ|JPM|KO|LLY|META|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|QCOM|V|WFC|WMT|XOM
2025-08-04,18,18,0.7543,0.3253,1.0796,43.8707,1.6458,ABBV|AVGO|BX|CVX|GOOG|GOOGL|HD|JNJ|JPM|MA|META|MSFT|NVDA|ORCL|PEP|TMO|TSLA|WMT
2025-08-29,28,28,1.2474,0.3227,1.5701,45.4408,2.4294,AAPL|ABBV|ABT|ADBE|AMZN|BAC|BX|CMCSA|CRM|CVX|GOOG|GOOGL|HD|JNJ|JPM|KO|MA|MRK|NFLX|NKE|PEP|PG|QCOM|TSLA|UNH|V|WFC|XOM
2025-09-29,23,23,0.5725,0.3225,0.895,46.3358,2.5072,AAPL|ABBV|ABT|ADBE|AVGO|BAC|BX|GOOG|GOOGL|HD|IBM|JNJ|JPM|META|MSFT|NOW|NVDA|ORCL|QCOM|TSLA|UNH|WFC|WMT
2025-10-27,29,29,0.1045,0.3197,0.4242,46.76,3.338,AAPL|ABBV|AMZN|AVGO|BAC|COST|CRM|GOOG|GOOGL|IBM|INTU|JNJ|KO|LLY|MA|META|MRK|MSFT|NOW|NVDA|PEP|QCOM|TMO|TSLA|UNH|V|WFC|WMT|XOM
2025-11-24,11,11,-0.7647,0.3273,-0.4374,46.3226,1.0408,AAPL|ABBV|ABT|AVGO|GOOG|GOOGL|JNJ|KO|LLY|MRK|XOM
2025-12-22,27,27,-0.1259,0.3234,0.1975,46.5201,2.2178,ADBE|AMZN|BAC|BX|CMCSA|CRM|CVX|DIS|HD|INTU|JNJ|JPM|LLY|MA|META|MRK|MSFT|NVDA|PEP|QCOM|TMO|TSLA|UNH|V|WFC|WMT|XOM
2026-01-09,1,1,-0.3382,0.3297,-0.0085,46.5116,0.3382,BX
2026-01-12,1,1,-0.0061,0.3301,0.324,46.8356,0.1951,COST
2026-01-16,17,17,1.0406,0.3249,1.3655,48.2011,1.7883,AMZN|AVGO|CVX|GOOG|GOOGL|HD|IBM|JNJ|KO|MRK|NKE|NVDA|PG|TMO|UNH|WMT|XOM
2026-02-13,15,15,-1.145,0.3257,-0.8193,47.3818,1.5423,AAPL|ABBV|CMCSA|COST|CVX|HD|JNJ|KO|LLY|META|MRK|PEP|PG|WMT|XOM
2026-03-13,7,7,0.0629,0.3285,0.3913,47.7731,0.6994,AMZN|CRM|CVX|INTU|NFLX|NOW|XOM
2026-04-10,18,18,3.5838,0.3266,3.9104,51.6835,1.2719,AAPL|AMZN|AVGO|BAC|BX|GOOG|GOOGL|JPM|KO|MA|META|MRK|NFLX|NVDA|TMO|UNH|WFC|WMT
2026-05-08,25,25,0.6541,0.3255,0.9796,52.6631,1.5791,AAPL|ACN|ADBE|AMZN|AVGO|BX|COST|CRM|DIS|GOOG|GOOGL|INTU|KO|LLY|MSFT|NKE|NOW|NVDA|ORCL|PG|QCOM|TSLA|UNH|V|WMT
