period_start,n_signals,n_active,option_pnl,mm_contrib,total_pnl,cumulative_pct,avg_premium_pct,tickers
2020-10-05,12,12,-1.3595,0.0061,-1.3535,-1.3535,1.423,ABT|AVGO|BX|CMCSA|COST|KO|NKE|NOW|ORCL|PG|UNH|WFC
2020-11-02,7,7,2.2901,0.0061,2.2962,0.9427,1.0842,ABBV|COST|GOOG|GOOGL|JPM|QCOM|XOM
2020-12-28,34,30,1.9942,0.0059,2.0001,2.9428,3.4926,AAPL|ABBV|ABT|AMZN|AVGO|BAC|BX|CMCSA|CVX|DIS|GOOG|GOOGL|IBM|INTU|JPM|LLY|MA|MRK|MSFT|NFLX|NOW|NVDA|PG|QCOM|TSLA|UNH|V|WFC|WMT|XOM
2021-01-25,26,26,0.5233,0.006,0.5293,3.4721,3.2477,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|BAC|BX|CRM|CVX|GOOG|HD|JNJ|JPM|LLY|MRK|MSFT|NFLX|NVDA|ORCL|QCOM|TSLA|UNH|WFC|WMT|XOM
2021-02-22,20,20,-0.6286,0.006,-0.6226,2.8495,2.293,ABT|AVGO|BAC|BX|CMCSA|CRM|CVX|IBM|INTU|JPM|KO|MA|MSFT|NKE|NOW|NVDA|ORCL|V|WFC|XOM
2021-03-22,21,21,2.4151,0.006,2.4211,5.2706,1.7734,BAC|BX|CMCSA|CVX|DIS|GOOG|GOOGL|HD|IBM|JPM|KO|MA|MRK|MSFT|NKE|ORCL|PEP|PG|UNH|WFC|XOM
2021-04-19,34,30,-0.2038,0.006,-0.1978,5.0728,3.1443,AAPL|ABBV|ABT|ADBE|AMZN|BAC|BX|COST|CRM|CVX|GOOG|HD|IBM|JPM|LLY|MA|MRK|MSFT|NFLX|NOW|NVDA|ORCL|PG|QCOM|TSLA|UNH|V|WFC|WMT|XOM
2021-05-17,23,23,0.3769,0.006,0.3829,5.4557,2.0234,ABBV|BAC|BX|CMCSA|COST|CVX|GOOG|GOOGL|IBM|INTU|JNJ|JPM|KO|LLY|MRK|NKE|ORCL|PEP|PG|UNH|V|WFC|XOM
2021-06-14,24,24,1.7292,0.006,1.7353,7.191,2.0337,AAPL|ADBE|AVGO|BX|CMCSA|CRM|DIS|GOOG|GOOGL|IBM|INTU|KO|LLY|MA|MSFT|NFLX|NOW|NVDA|ORCL|PEP|QCOM|TSLA|V|WMT
2021-07-12,30,30,0.2334,0.006,0.2394,7.4304,2.8426,AAPL|ABBV|ABT|ADBE|AMZN|AVGO|BX|CMCSA|COST|DIS|GOOG|HD|INTU|JNJ|JPM|LLY|MA|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|PG|QCOM|TSLA|UNH|V
2021-08-09,27,27,0.7536,0.006,0.7596,8.19,2.2913,AAPL|ABT|ADBE|BAC|BX|CMCSA|COST|CRM|GOOG|GOOGL|HD|IBM|INTU|JNJ|KO|LLY|MSFT|NKE|NOW|ORCL|PEP|PG|QCOM|TSLA|V|WFC|WMT
2021-09-03,29,29,-1.2644,0.006,-1.2584,6.9316,2.2235,AAPL|ABT|ADBE|AMZN|AVGO|BAC|BX|CMCSA|COST|CRM|DIS|GOOG|GOOGL|HD|INTU|JNJ|JPM|KO|MRK|MSFT|NFLX|NOW|NVDA|ORCL|PEP|PG|TSLA|UNH|WMT
2021-10-04,11,11,1.0069,0.0061,1.013,7.9446,1.3136,BAC|CRM|CVX|IBM|JPM|MA|MRK|NFLX|TSLA|WFC|XOM
2021-11-01,31,30,0.3264,0.006,0.3324,8.277,2.6004,AAPL|ABBV|ABT|ADBE|AVGO|BAC|BX|COST|CRM|CVX|GOOGL|HD|INTU|JNJ|JPM|KO|LLY|MRK|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PG|QCOM|UNH|WFC|WMT|XOM
2021-12-27,26,26,-2.046,0.006,-2.04,6.237,2.3738,AAPL|ABBV|ABT|AMZN|AVGO|COST|CVX|GOOG|GOOGL|HD|IBM|INTU|JNJ|KO|LLY|MA|MSFT|NKE|NVDA|PEP|PG|QCOM|TMO|TSLA|UNH|V
2022-01-24,6,6,-0.0536,0.1527,0.0992,6.3362,0.7266,CVX|KO|MRK|PEP|WFC|XOM
2022-02-18,20,20,0.3207,0.1501,0.4709,6.8071,2.4281,AAPL|ABBV|AMZN|AVGO|BAC|BX|COST|CVX|DIS|GOOG|JNJ|JPM|KO|MA|NFLX|NVDA|UNH|V|WFC|XOM
2022-04-18,17,17,-1.0309,0.1511,-0.8799,5.9272,1.7963,ABBV|AMZN|AVGO|CMCSA|COST|CVX|IBM|JNJ|KO|LLY|MRK|ORCL|PEP|TSLA|UNH|WMT|XOM
2022-05-16,7,7,-0.4884,0.1528,-0.3355,5.5917,0.669,IBM|JNJ|KO|LLY|MRK|PEP|XOM
2022-06-13,5,5,0.4242,0.1529,0.577,6.1687,0.6375,CRM|IBM|INTU|NOW|XOM
2022-07-11,29,29,3.0423,0.1479,3.1902,9.3589,3.8738,AAPL|ABBV|ABT|ADBE|AMZN|COST|CRM|GOOG|GOOGL|HD|IBM|INTU|JNJ|KO|LLY|MA|MRK|MSFT|NFLX|NOW|ORCL|PEP|PG|QCOM|TSLA|UNH|V|WFC|WMT
2022-08-08,30,30,-2.93,0.1485,-2.7814,6.5775,3.4464,AAPL|ABT|ADBE|AMZN|AVGO|BAC|BX|COST|CRM|DIS|HD|INTU|JPM|KO|MA|META|MSFT|NFLX|NKE|NOW|NVDA|ORCL|PEP|QCOM|TSLA|UNH|V|WFC|WMT|XOM
2022-09-02,6,6,-0.6331,0.1529,-0.4802,6.0973,0.6332,CVX|DIS|TMO|WFC|WMT|XOM
2022-10-03,5,5,1.1886,0.1526,1.3412,7.4385,0.8111,ABBV|JNJ|LLY|MRK|NFLX
