period_start,period_end,ticker,underlying_ret_in_prev_period,signal_triggered,trade
2020-10-05,2020-10-30,ABT,1.9,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,AVGO,1.8,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,BX,1.1,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,CMCSA,1.7,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,COST,2.0,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,KO,0.5,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,NKE,11.4,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,NOW,0.9,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,ORCL,3.3,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,PG,0.9,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,UNH,1.7,YES (prev 4W return > 0),BUY CALL
2020-10-05,2020-10-30,WFC,1.7,YES (prev 4W return > 0),BUY CALL
2020-11-02,2020-11-27,ABBV,0.4,YES (prev 4W return > 0),BUY CALL
2020-11-02,2020-11-27,COST,1.6,YES (prev 4W return > 0),BUY CALL
2020-11-02,2020-11-27,GOOG,9.4,YES (prev 4W return > 0),BUY CALL
2020-11-02,2020-11-27,GOOGL,9.5,YES (prev 4W return > 0),BUY CALL
2020-11-02,2020-11-27,JPM,1.2,YES (prev 4W return > 0),BUY CALL
2020-11-02,2020-11-27,QCOM,2.9,YES (prev 4W return > 0),BUY CALL
2020-11-02,2020-11-27,XOM,0.7,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,AAPL,25.6,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,ABBV,17.2,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,ABT,0.3,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,AMZN,9.3,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,AVGO,23.0,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,BAC,25.1,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,BX,26.0,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,CMCSA,23.5,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,COST,1.8,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,CVX,17.7,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,DIS,48.9,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,GOOG,9.2,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,GOOGL,9.2,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,IBM,10.5,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,INTU,20.4,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,JNJ,10.5,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,JPM,25.0,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,KO,11.4,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,LLY,26.5,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,MA,18.8,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,MRK,4.9,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,MSFT,11.2,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,NFLX,7.2,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,NOW,14.2,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,NVDA,2.5,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,PEP,8.7,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,PG,0.1,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,QCOM,19.2,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,TSLA,65.7,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,UNH,10.8,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,V,15.1,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,WFC,36.7,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,WMT,3.4,YES (prev 4W return > 0),BUY CALL
2020-12-28,2021-01-22,XOM,22.8,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,AAPL,4.6,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,ABBV,6.8,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,ABT,6.4,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,ADBE,6.4,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,AMZN,0.3,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,AVGO,7.6,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,BAC,3.4,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,BX,0.5,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,CRM,0.6,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,CVX,7.1,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,GOOG,6.9,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,HD,5.9,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,JNJ,8.3,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,JPM,5.4,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,LLY,27.5,YES (prev 4W return > 0),BUY CALL
2021-01-25,2021-02-19,MRK,0.9,YES (prev 4W return > 0),BUY CALL
