period_start,period_end,ticker,stock_entry,strike,premium,premium_pct,active_slot,n_signals_period,weight_pct,capital_alloc_per_$100,stock_expiry,stock_move_pct,option_payoff_at_expiry,pnl_dollar_per_share,pnl_pct_of_stock,contribution_to_portfolio_pct
2020-10-05,2020-10-30,ABT,108.56,109.0,3.92,3.6109,1,12,3.3333333333333335,3.3333333333333335,107.48,-0.99,0.0,-3.92,-3.6109,-0.120363
2020-10-05,2020-10-30,AVGO,366.1,365.0,11.25,3.0729,1,12,3.3333333333333335,3.3333333333333335,351.25,-4.06,0.0,-11.25,-3.0729,-0.10243
2020-10-05,2020-10-30,BX,54.29,54.0,1.9,3.4997,1,12,3.3333333333333335,3.3333333333333335,51.33,-5.45,0.0,-1.9,-3.5089,-0.116963
2020-10-05,2020-10-30,CMCSA,45.81,46.0,2.07,4.5187,1,12,3.3333333333333335,3.3333333333333335,41.4,-9.63,0.0,-2.07,-4.5078,-0.15026
2020-10-05,2020-10-30,COST,358.58,357.5,8.28,2.3091,1,12,3.3333333333333335,3.3333333333333335,364.39,1.62,6.89,-1.39,-0.3876,-0.01292
2020-10-05,2020-10-30,KO,49.38,49.5,1.39,2.8149,1,12,3.3333333333333335,3.3333333333333335,48.62,-1.54,0.0,-1.39,-2.8149,-0.09383
2020-10-05,2020-10-30,NKE,127.91,128.0,4.12,3.221,1,12,3.3333333333333335,3.3333333333333335,122.39,-4.32,0.0,-4.12,-3.2249,-0.107497
2020-10-05,2020-10-30,NOW,501.79,500.0,31.0,6.1779,1,12,3.3333333333333335,3.3333333333333335,476.0,-5.14,0.0,-31.0,-6.1789,-0.205963
2020-10-05,2020-10-30,ORCL,59.56,59.5,1.79,3.0054,1,12,3.3333333333333335,3.3333333333333335,56.45,-5.22,0.0,-1.79,-3.0054,-0.10018
2020-10-05,2020-10-30,PG,139.39,139.0,3.61,2.5899,1,12,3.3333333333333335,3.3333333333333335,138.5,-0.64,0.0,-3.61,-2.5863,-0.08621
2020-10-05,2020-10-30,UNH,318.15,317.5,9.68,3.0426,1,12,3.3333333333333335,3.3333333333333335,312.1,-1.9,0.0,-9.68,-3.041,-0.101367
2020-10-05,2020-10-30,WFC,24.45,24.5,1.18,4.8262,1,12,3.3333333333333335,3.3333333333333335,21.9,-10.43,0.0,-1.18,-4.8466,-0.161553
2020-11-02,2020-11-27,ABBV,88.25,88.0,3.02,3.4221,1,7,3.3333333333333335,3.3333333333333335,104.89,18.86,16.89,13.88,15.7224,0.52408
2020-11-02,2020-11-27,COST,364.39,365.0,13.4,3.6774,1,7,3.3333333333333335,3.3333333333333335,388.39,6.59,23.39,9.99,2.7402,0.09134
2020-11-02,2020-11-27,GOOG,1626.03,1625.0,63.29,3.8923,1,7,3.3333333333333335,3.3333333333333335,1793.2,10.28,168.2,104.91,6.4519,0.215063
2020-11-02,2020-11-27,GOOGL,1624.32,1625.0,78.24,4.8168,1,7,3.3333333333333335,3.3333333333333335,1787.0,10.02,162.0,83.76,5.1566,0.171887
2020-11-02,2020-11-27,JPM,100.25,100.0,3.97,3.9601,1,7,3.3333333333333335,3.3333333333333335,121.22,20.92,21.22,17.24,17.202,0.5734
2020-11-02,2020-11-27,QCOM,123.97,124.0,8.01,6.4612,1,7,3.3333333333333335,3.3333333333333335,143.83,16.02,19.83,11.82,9.5305,0.317683
2020-11-02,2020-11-27,XOM,33.99,34.0,2.14,6.296,1,7,3.3333333333333335,3.3333333333333335,40.19,18.24,6.19,4.05,11.9006,0.396687
2020-12-28,2021-01-22,AAPL,136.69,137.0,5.35,3.914,1,34,3.3333333333333335,3.3333333333333335,142.92,4.56,5.92,0.56,0.4133,0.013777
2020-12-28,2021-01-22,ABBV,103.45,103.0,2.86,2.7646,1,34,3.3333333333333335,3.3333333333333335,110.5,6.81,7.5,4.64,4.4901,0.14967
2020-12-28,2021-01-22,ABT,107.79,108.0,3.4,3.1543,1,34,3.3333333333333335,3.3333333333333335,114.72,6.43,6.72,3.32,3.0754,0.102513
2020-12-28,2021-01-22,AMZN,3283.96,3285.0,101.52,3.0914,1,34,3.3333333333333335,3.3333333333333335,3294.0,0.31,9.0,-92.52,-2.8173,-0.09391
2020-12-28,2021-01-22,AVGO,431.88,432.5,11.01,2.5493,1,34,3.3333333333333335,3.3333333333333335,464.79,7.62,32.29,21.28,4.9273,0.164243
2020-12-28,2021-01-22,BAC,30.13,30.0,0.89,2.9539,1,34,3.3333333333333335,3.3333333333333335,31.16,3.42,1.16,0.27,0.9127,0.030423
